date,tow.id,liftoff.time,,,,,
8/12/2020,GP118F,13:10:53,,,,,
8/15/2020,GP119F,11:35:11,,,,,
7/18/2020,GP120F,6:01:24,,,,,
7/19/2020,GP121F,5:38:53,,,,,
7/18/2020,GP122F,20:22:24,,,,,
7/30/2020,GP123F,13:00:37,,,,,
8/16/2020,GP124F,7:23:31,,,,,
7/31/2020,GP125F,10:35:34,,,,,
8/12/2020,GP126F,12:01:24,,,,,
7/31/2020,GP127F,9:29:13,,,,,
7/30/2020,GP128A1,14:49:05,,,,,
8/13/2020,GP129F,19:21:58,,,,,
7/19/2020,GP130F,15:47:22,,,,,
8/15/2020,GP131F,8:08:26,,,,,
8/15/2020,GP132F,10:20:04,,,,,
7/29/2020,GP133F,8:58:12,,,,,
7/19/2020,GP134F,11:14:03,,,,,
8/15/2020,GP135F,6:05:25,,,,,
8/14/2020,GP136F,20:01:24,,,,,
8/15/2020,GP137F,9:20:19,,,,,
7/19/2020,GP138F,17:51:17,,,,,
7/19/2020,GP139F,12:18:58,,,,,
9/6/2020,GP140F,14:24:39,,,,,
7/29/2020,GP141F,9:49:25,,,,,
7/19/2020,GP142F,7:10:09,,,,,
8/14/2020,GP143F,18:04:15,,,,,
8/14/2020,GP144F,19:09:07,,,,,
8/15/2020,GP145F,7:13:08,,,,,
9/6/2020,GP146F,17:38:17,,,,,
7/30/2020,GP147F,11:29:00,,,,,
9/5/2020,GP148F,18:19:59,,,,,
7/30/2020,GP149F,10:34:58,,,,,
8/16/2020,GP150F,8:49:31,,,,,
9/6/2020,GP151F,19:44:11,,,,,
7/19/2020,GP152F,17:03:53,,,,,
7/20/2020,GP153F,12:35:11,,,,,
7/29/2020,GP154F,8:08:12,,,,,
9/5/2020,GP155F,14:46:06,,,,,
7/19/2020,GP156F,9:10:22,,,,,
8/14/2020,GP157F,16:42:01,,,,,
7/30/2020,GP158F,9:33:33,,,,,
7/29/2020,GP159F,12:56:05,,,,,
9/6/2020,GP160F,12:38:20,,,,,
9/7/2020,GP161F,6:33:09,,,,,
7/29/2020,GP162F,6:51:17,,,,,
8/16/2020,GP163F,10:11:48,,,,,
9/7/2020,GP164F,7:27:59,,,,,
7/20/2020,GP165A1,11:08:35,,,,,
7/19/2020,GP166F,18:50:45,,,,,
9/6/2020,GP167A2,7:30:54,,,,,
9/5/2020,GP168F,12:19:33,,,,,
7/20/2020,GP169F,13:47:18,,,,,
7/29/2020,GP170F,11:27:41,,,,,
9/5/2020,GP171F,15:36:58,,,,,
8/14/2020,GP172F,15:39:39,,,,,
9/5/2020,GP173F,16:14:48,,,,,
7/29/2020,GP174F,5:43:49,,,,,
9/5/2020,GP175F,13:18:29,,,,,
7/30/2020,GP176F,8:10:07,,,,,
9/7/2020,GP177F,8:44:39,,,,,
9/5/2020,GP178F,11:05:37,,,,,
7/30/2020,GP179F,6:57:03,,,,,
7/20/2020,GP180F,15:03:23,,,,,
7/20/2020,GP181F,8:01:40,,,,,
9/6/2020,GP182F,10:55:57,,,,,
8/14/2020,GP183F,14:33:15,,,,,
7/29/2020,GP184F,14:07:17,,,,,
7/20/2020,GP185F,15:57:34,,,,,
9/6/2020,GP186A1,10:09:34,,,,,
7/19/2020,GP187F,20:26:36,,,,,
7/22/2020,GP188F,20:15:44,,,,,
7/28/2020,GP189F,20:32:43,,,,,
9/7/2020,GP190F,10:20:03,,,,,
8/16/2020,GP191F,12:08:53,,,,,
7/28/2020,GP192F,18:44:34,,,,,
8/14/2020,GP193F,13:06:00,,,,,
7/22/2020,GP194F,14:32:56,,,,,
9/5/2020,GP195F,9:29:31,,,,,
7/22/2020,GP196F,19:21:50,,,,,
7/28/2020,GP197F,19:31:45,,,,,
7/30/2020,GP198F,5:46:51,,,,,
7/22/2020,GP199F,15:41:12,,,,,
7/21/2020,GP200F,6:35:44,,,,,
7/20/2020,GP201F,16:54:44,,,,,
7/29/2020,GP202A2,18:21:26,,,,,
7/20/2020,GP203F,5:57:28,,,,,
8/14/2020,GP204F,12:15:11,,,,,
7/22/2020,GP205F,10:46:34,,,,,
7/29/2020,GP206F,19:31:58,,,,,
7/20/2020,GP207F,18:25:17,,,,,
7/17/2020,GP208F,20:37:00,,,,,
8/14/2020,GP209F,11:18:27,,,,,
8/16/2020,GP210F,13:32:16,,,,,
7/22/2020,GP211F,13:07:45,,,,,
7/22/2020,GP212F,18:13:40,,,,,
7/22/2020,GP213F,9:52:12,,,,,
7/28/2020,GP214F,17:40:44,,,,,
7/29/2020,GP215F,20:41:50,,,,,
9/5/2020,GP216F,7:55:07,,,,,
7/21/2020,GP217F,5:27:31,,,,,
7/21/2020,GP218F,7:29:58,,,,,
7/22/2020,GP219F,17:08:07,,,,,
7/28/2020,GP220F,16:25:13,,,,,
9/7/2020,GP221F,11:51:09,,,,,
7/22/2020,GP222F,11:57:48,,,,,
8/14/2020,GP223F,9:34:27,,,,,
7/22/2020,GP224F,8:32:35,,,,,
7/28/2020,GP226F,15:00:16,,,,,
7/20/2020,GP227F,19:10:45,,,,,
9/5/2020,GP228F,6:30:21,,,,,
8/16/2020,GP229F,14:35:14,,,,,
7/20/2020,GP230F,19:59:25,,,,,
8/24/2020,GP231F,8:50:50,,,,,
9/7/2020,GP232F,13:26:06,,,,,
7/28/2020,GP233F,13:42:50,,,,,
7/23/2020,GP234F,5:41:12,,,,,
7/17/2020,GP235F,17:00:41,,,,,
7/21/2020,GP236F,8:25:41,,,,,
7/17/2020,GP237F,18:29:17,,,,,
8/24/2020,GP238F,9:53:41,,,,,
7/22/2020,GP239F,6:53:18,,,,,
7/23/2020,GP240F,7:11:06,,,,,
8/24/2020,GP241A1,7:25:29,,,,,
7/22/2020,GP242F,6:11:02,,,,,
7/21/2020,GP243F,9:51:31,,,,,
8/29/2020,GP244F,7:23:20,,,,,
7/28/2020,GP245F,11:39:49,,,,,
8/16/2020,GP246F,16:04:26,,,,,
8/14/2020,GP247F,8:07:20,,,,,
7/28/2020,GP248F,8:50:16,,,,,
7/21/2020,GP249A1,12:03:09,,,,,
7/17/2020,GP250F,14:58:40,,,,,
7/17/2020,GP251F,14:06:03,,,,,
8/16/2020,GP252F,17:10:47,,,,,
7/22/2020,GP253F,5:28:00,,,,,
8/24/2020,GP254F,18:56:17,,,,,
8/29/2020,GP255F,6:23:02,,,,,
8/24/2020,GP256F,19:51:43,,,,,
7/21/2020,GP257F,14:15:31,,,,,
8/14/2020,GP258F,7:19:00,,,,,
7/28/2020,GP259F,7:49:27,,,,,
7/17/2020,GP260F,13:10:02,,,,,
7/21/2020,GP261F,13:18:44,,,,,
8/24/2020,GP262F,11:20:54,,,,,
7/28/2020,GP263F,10:32:21,,,,,
8/24/2020,GP264F,12:07:25,,,,,
7/23/2020,GP265F,7:58:01,,,,,
8/24/2020,GP266F,16:26:22,,,,,
9/8/2020,GP267F,9:44:54,,,,,
7/28/2020,GP268F,6:45:26,,,,,
7/17/2020,GP269F,11:49:03,,,,,
8/24/2020,GP270F,14:24:04,,,,,
8/24/2020,GP271F,13:23:29,,,,,
9/8/2020,GP272F,8:32:47,,,,,
7/17/2020,GP273F,9:33:11,,,,,
7/28/2020,GP274F,5:38:14,,,,,
8/16/2020,GP275F,18:01:58,,,,,
8/24/2020,GP276F,17:53:34,,,,,
8/24/2020,GP277F,15:24:46,,,,,
7/21/2020,GP278F,15:39:45,,,,,
9/7/2020,GP279F,17:18:26,,,,,
9/8/2020,GP280F,10:57:42,,,,,
8/14/2020,GP281F,6:00:05,,,,,
7/17/2020,GP282F,8:02:20,,,,,
8/16/2020,GP283F,19:16:41,,,,,
9/8/2020,GP284F,12:36:34,,,,,
9/2/2020,GP285F,13:05:40,,,,,
9/8/2020,GP286F,6:37:33,,,,,
7/21/2020,GP287F,17:43:21,,,,,
9/7/2020,GP288F,19:51:15,,,,,
9/8/2020,GP289F,16:39:11,,,,,
7/21/2020,GP290F,17:04:33,,,,,
9/7/2020,GP291F,18:34:04,,,,,
9/8/2020,GP292F,18:07:55,,,,,
7/17/2020,GP293F,5:49:58,,,,,
9/8/2020,GP294F,13:51:50,,,,,
7/16/2020,GP295F,20:21:46,,,,,
9/2/2020,GP296F,11:50:34,,,,,
9/2/2020,GP297F,11:02:17,,,,,
9/8/2020,GP298F,17:24:46,,,,,
9/10/2020,GP299F,13:57:35,,,,,
7/21/2020,GP300A1,20:00:37,,,,,
9/8/2020,GP301F,15:00:28,,,,,
9/10/2020,GP302F,11:12:26,,,,,
7/21/2020,GP303F,18:21:08,,,,,
9/10/2020,GP304F,12:18:06,,,,,
9/10/2020,GP305F,16:06:13,,,,,
9/10/2020,GP306F,15:09:47,,,,,
9/2/2020,GP307F,9:24:14,,,,,
9/2/2020,GP308F,6:24:31,,,,,
9/10/2020,GP309F,9:54:19,,,,,
9/1/2020,GP310F,19:50:57,,,,,
9/2/2020,GP311F,7:59:39,,,,,
7/16/2020,GP312F,16:59:10,,,,,
7/16/2020,GP313F,14:27:21,,,,,
9/1/2020,GP314F,19:10:49,,,,,
7/16/2020,GP315F,12:00:58,,,,,
7/16/2020,GP316F,18:48:28,,,,,
9/9/2020,GP317F,10:06:48,,,,,
9/10/2020,GP318F,7:41:47,,,,,
9/10/2020,GP319F,17:23:03,,,,,
7/16/2020,GP320F,15:44:04,,,,,
9/1/2020,GP321F,18:32:38,,,,,
9/10/2020,GP322F,8:57:08,,,,,
7/15/2020,GP323F,20:14:19,,,,,
7/16/2020,GP324F,13:18:33,,,,,
7/16/2020,GP325F,5:20:49,,,,,
7/16/2020,GP326F,11:10:27,,,,,
9/9/2020,GP327F,11:11:38,,,,,
9/1/2020,GP328F,15:11:55,,,,,
9/9/2020,GP329F,9:03:15,,,,,
9/10/2020,GP330F,6:38:19,,,,,
7/16/2020,GP331F,10:26:50,,,,,
9/9/2020,GP332F,12:05:16,,,,,
9/1/2020,GP333F,17:20:43,,,,,
7/13/2020,GP334F,14:04:57,,,,,
7/16/2020,GP335F,6:30:54,,,,,
9/9/2020,GP336F,12:46:05,,,,,
9/1/2020,GP337F,16:16:53,,,,,
9/1/2020,GP338F,14:11:56,,,,,
9/9/2020,GP339F,7:47:36,,,,,
9/9/2020,GP340F,6:44:10,,,,,
7/16/2020,GP341F,9:09:31,,,,,
7/13/2020,GP342F,12:59:02,,,,,
9/1/2020,GP343F,11:15:27,,,,,
7/16/2020,GP344F,7:54:35,,,,,
9/1/2020,GP345F,13:03:35,,,,,
7/13/2020,GP346F,11:40:41,,,,,
9/1/2020,GP347F,12:15:47,,,,,
9/1/2020,GP348F,9:57:30,,,,,
9/1/2020,GP349F,6:26:21,,,,,
7/13/2020,GP350F,10:24:33,,,,,
7/13/2020,GP351F,6:37:22,,,,,
7/13/2020,GP352F,9:17:59,,,,,
7/13/2020,GP353F,8:09:20,,,,,
7/13/2020,GP354F,5:31:30,,,,,
9/1/2020,GP355F,8:19:09,,,,,
