date,tow.id,liftoff
20-07-31,GP068F,17:16:41
20-07-31,GP076F,18:41:01
20-07-31,GP061F,19:48:51
20-08-01,GP049A1,6:32:28
20-08-01,GP026F,8:52:23
20-08-01,GP024F,10:07:32
20-08-01,GP036F,11:23:15
20-08-01,GP046F,12:57:52
20-08-01,GP067F,14:15:29
20-08-01,GP091A1,17:00:14
20-08-01,GP066A1,19:29:46
20-08-01,GP048F,20:20:00
20-08-02,GP050F,5:46:58
20-08-02,GP044F,7:25:13
20-08-02,GP025F,9:02:13
20-08-02,GP016F,10:36:49
20-08-02,GP023F,11:48:02
20-08-02,GP019F,12:43:00
20-08-02,GP018F,13:34:08
20-08-02,GP028F,14:57:36
20-08-02,GP032F,15:37:09
20-08-02,GP022F,16:44:11
20-08-02,GP030F,17:25:15
20-08-02,GP040F,18:04:49
20-08-02,GP042F,19:09:54
20-08-02,GP041F,19:56:34
20-08-03,GP015F,5:54:36
20-08-03,GP012F,8:09:37
20-08-03,GP010F,9:48:51
20-08-03,GP011F,11:06:50
20-08-03,GP007F,12:30:24
20-08-03,GP005F,13:43:06
20-08-03,GP001F,15:38:42
20-08-03,GP003F,16:54:53
20-08-03,GP004F,17:46:21
20-08-03,GP002F,18:51:49
20-08-03,GP006F,20:49:51
20-08-04,GP008F,6:11:36
20-08-04,GP009F,7:08:45
20-08-08,GP013A1,7:21:29
20-08-08,GP017F,8:33:03
20-08-08,GP021F,9:36:41
20-08-08,GP020F,10:29:45
20-08-08,GP014F,11:28:19
20-08-08,GP034F,13:36:05
20-08-08,GP027F,14:58:42
20-08-08,GP033F,15:54:50
20-08-08,GP057F,17:09:47
20-08-08,GP038F,18:14:24
20-08-08,GP035F,20:10:24
20-08-09,GP054F,6:06:39
20-08-09,GP064F,7:14:33
20-08-09,GP056F,8:19:48
20-08-09,GP074F,9:20:04
20-08-09,GP083F,10:36:45
20-08-09,GP078F,12:13:26
20-08-09,GP107F,13:23:05
20-08-09,GP096F,14:32:52
20-08-09,GP112F,16:00:15
20-08-09,GP103A1,18:43:36
20-08-09,GP089F,19:52:38
20-08-10,GP086A1,7:10:41
20-08-10,GP073A1,9:32:45
20-08-10,GP065F,11:11:23
20-08-10,GP059F,12:16:58
20-08-10,GP058F,13:10:06
20-08-10,GP029F,14:29:26
20-08-10,GP037F,15:14:55
20-08-10,GP055A1,17:10:33
20-08-10,GP071F,18:02:38
20-08-11,GP053F,10:10:06
20-08-11,GP039F,11:42:32
20-08-11,GP031A1,14:16:53
20-08-11,GP045F,16:26:14
20-08-11,GP062F,17:56:12
20-08-11,GP060F,19:15:32
20-08-12,GP082A1,6:10:18
20-08-12,GP075F,8:05:29
20-08-12,GP101F,9:22:17
20-08-12,GP114F,10:22:22
20-08-12,GP126F,12:01:26
20-08-12,GP118F,13:10:52
20-08-12,GP100F,14:46:59
20-08-12,GP087F,15:53:02
20-08-12,GP092A1,18:32:53
20-08-12,GP069F,19:56:54
20-08-13,GP051F,6:04:17
20-08-13,GP052F,7:00:03
20-08-13,GP047A1,9:08:51
20-08-13,GP070A1,11:52:30
20-08-13,GP093F,13:07:31
20-08-13,GP063F,14:20:59
20-08-13,GP095F,15:40:34
20-08-13,GP111F,17:06:03
20-08-13,GP110F,18:08:29
20-08-13,GP129F,19:21:58
20-08-14,GP281F,6:00:05
20-08-14,GP258F,7:19:00
20-08-14,GP247F,8:07:22
20-08-14,GP223F,9:34:28
20-08-14,GP209F,11:18:27
20-08-14,GP204F,12:15:12
20-08-14,GP193F,13:06:01
20-08-14,GP183F,14:33:16
20-08-14,GP172F,15:39:40
20-08-14,GP157F,16:42:03
20-08-14,GP143F,18:04:14
20-08-14,GP144F,19:09:05
20-08-14,GP136F,20:01:24
20-08-15,GP135F,6:05:25
20-08-15,GP145F,7:13:09
20-08-15,GP131F,8:08:26
20-08-15,GP137F,9:20:21
20-08-15,GP132F,10:20:05
20-08-15,GP119F,11:35:17
20-08-15,GP102F,12:29:46
20-08-15,GP108F,14:24:23
20-08-15,GP104F,15:52:33
20-08-15,GP079F,17:15:52
20-08-15,GP090F,18:06:13
20-08-15,GP097A1,20:37:50
20-08-16,GP105F,6:05:54
20-08-16,GP124F,7:23:31
20-08-16,GP150F,8:49:31
20-08-16,GP163F,10:11:44
20-08-16,GP191F,12:09:13
20-08-16,GP210F,13:32:18
20-08-16,GP229F,14:35:13
20-08-16,GP246F,16:04:26
20-08-16,GP252F,17:10:48
20-08-16,GP275F,18:01:58
20-08-16,GP283F,19:16:46
20-08-24,GP241A1,7:24:56
20-08-24,GP231F,8:50:49
20-08-24,GP238F,9:53:37
20-08-24,GP262F,11:20:53
20-08-24,GP264F,12:07:25
20-08-24,GP271F,13:23:09
20-08-24,GP270F,14:24:04
20-08-24,GP277F,15:24:46
20-08-24,GP266F,16:26:22
20-08-24,GP276F,17:53:34
20-08-24,GP254F,18:56:18
20-08-24,GP256F,19:51:38
20-08-29,GP255F,6:23:04
20-08-29,GP244F,7:23:21
20-09-01,GP349F,6:26:21
20-09-01,GP355F,8:19:07
20-09-01,GP348F,9:57:28
20-09-01,GP343F,11:15:28
20-09-01,GP347F,12:15:46
20-09-01,GP345F,13:03:33
20-09-01,GP338F,14:11:54
20-09-01,GP328F,15:11:51
20-09-01,GP337F,16:16:53
20-09-01,GP333F,17:20:41
20-09-01,GP321F,18:32:32
20-09-01,GP314F,19:10:46
20-09-01,GP310F,19:50:56
20-09-02,GP308F,6:24:30
20-09-02,GP311F,7:59:38
20-09-02,GP307F,9:24:13
20-09-02,GP297F,11:02:14
20-09-02,GP296F,11:50:35
20-09-02,GP285F,13:05:39
20-09-05,GP228F,6:30:19
20-09-05,GP216F,7:55:08
20-09-05,GP195F,9:29:34
20-09-05,GP178F,11:05:38
20-09-05,GP168F,12:19:34
20-09-05,GP175F,13:18:30
20-09-05,GP155F,14:46:05
20-09-05,GP171F,15:36:57
20-09-05,GP173F,16:14:47
20-09-05,GP148F,18:19:59
20-09-06,GP167A2,7:30:54
20-09-06,GP186A1,10:09:30
20-09-06,GP182F,10:55:59
20-09-06,GP160F,12:38:18
20-09-06,GP140F,14:24:46
20-09-06,GP117A1,16:25:41
20-09-06,GP146F,17:38:15
20-09-06,GP116F,18:35:58
20-09-06,GP151F,19:44:10
20-09-07,GP161F,6:33:09
20-09-07,GP164F,7:28:00
20-09-07,GP177F,8:44:39
20-09-07,GP190F,10:20:04
20-09-07,GP221F,11:51:10
20-09-07,GP232F,13:26:04
20-09-07,GP279F,17:18:29
20-09-07,GP291F,18:34:05
20-09-07,GP288F,19:51:17
20-09-08,GP286F,6:37:33
20-09-08,GP272F,8:32:47
20-09-08,GP267F,9:44:51
20-09-08,GP280F,10:57:44
20-09-08,GP284F,12:36:35
20-09-08,GP294F,13:51:46
20-09-08,GP301F,15:00:50
20-09-08,GP289F,16:39:11
20-09-08,GP298F,17:24:45
20-09-08,GP292F,18:07:53
20-09-09,GP340F,6:44:09
20-09-09,GP339F,7:47:34
20-09-09,GP329F,9:03:12
20-09-09,GP317F,10:06:49
20-09-09,GP327F,11:11:41
20-09-09,GP332F,12:05:17
20-09-09,GP336F,12:46:04
20-09-10,GP330F,6:38:21
20-09-10,GP318F,7:41:41
20-09-10,GP322F,8:57:09
20-09-10,GP309F,9:54:18
20-09-10,GP302F,11:12:26
20-09-10,GP304F,12:18:04
20-09-10,GP299F,13:57:36
20-09-10,GP306F,15:09:46
20-09-10,GP305F,16:06:12
20-09-10,GP319F,17:23:02
