W9999	W9998	W9997	W9996	W9995	W9994	W9993	W9992	W9991	W9630	W9400	W9304	W9303	W9302	W9300	W9200	W9001	W9000	W880	W868	W8500	W8361	W8351	W8324	W8318	W8300	W8200	W8113	W770	W720	W712	W701	W70	W6713	W6600	W6500	W647	W646	W643	W642	W6413	W641	W6400	W640	W64	W633	W632	W631	W6300	W630	W63	W628	W627	W626	W625	W624	W623	W622	W621	W6200	W620	W62	W617	W616	W6135	W6125	W6123	W6121	W6120	W6119	W6117	W6115	W6113	W6111	W6110	W6100	W610	W61	W603	W6000	W600	W60	W598	W59	W520	W52	W512	W51	W509	W505	W504	W502	W501	W500	W50	W4700	W4536	W4522	W4521	W4514	W4512	W4511	W4400	W4348	W4342	W4340	W4331	W4330	W4322	W4321	W4320	W4318	W4317	W4312	W4310	W4304	W43	W4220	W4212	W4211	W4210	W4200	W42	W410	W41	W4000	W400	W40	W3700	W361	W350	W341	W340	W3200	W320	W314	W313	W3100	W310	W31	W308	W307	W306	W304	W303	W302	W301	W300	W30	W2990	W2980	W2938	W2800	W2560	W2550	W2528	W2527	W2526	W2524	W2523	W2521	W2513	W2511	W241	W240	W23	W221	W220	W211	W2100	W204	W202	W201	W1930	W1827	W1823	W1810	W17	W169	W164	W1600	W160	W16	W1511	W1510	W143	W14	W123	W1224	W122	W1200	W12	W118	W114	W112	W110	W11	W10	TWwolffish	TWwelk	TWunknownivert	TWunknownfish	TWstarfish	TWsquid	TWsnakeblenny	TWskate	TWseasnail	TWseapen	TWsea urchins	TWsculpin	TWhake	TWgunnel	TWellpout	TWcrab	TWcod	TWclam	TWalligatorfish	TRAWLNUMshort	TRAWLNUM	TPwolffish	TPwelk	TPunknowninvert	TPunknownfish	TPstarfish	TPsquid	TPsnakeblenny	TPskate	TPseasnail	TPseapen	TPsea urchins	TPsculpin	TPhake	TPgunnel	TPellpout	TPcrab	TPcod	TPcockle	TPclam	TPalligatorish	timestamp	Temp_weight	Temp_count	TCwolffish	TCwelk	TCunknowninvert	TCunknownfish	TCstarfish	TCsquid	TCsnakeblenny	TCskate	TCseasnail	TCseapen	TCsea urchins	TCsculpin	TChake	TCgunnel	TCellpout	TCcrab	TCcod	TCcockle	TCclam	TCalligatorfish	SpeciesInfoLong	SpeciesInfo	P9999	P9998	P9997	P9996	P9995	P9994	P9993	P9992	P9991	P9630	P9400	P9304	P9303	P9302	P9300	P9200	P9001	P9000	P880	P868	P8500	P8361	P8351	P8324	P8318	P8300	P8200	P8113	P770	P720	P712	P701	P70	P6713	P6600	P6500	P647	P646	P643	P642	P6413	P641	P6400	P640	P64	P633	P632	P631	P6300	P630	P63	P628	P627	P626	P625	P624	P623	P622	P621	P6200	P620	P62	P617	P616	P6135	P6125	P6123	P6121	P6120	P6119	P6117	P6115	P6113	P6111	P6110	P6100	P610	P61	P603	P6000	P600	P60	P598	P59	P520	P52	P512	P51	P509	P505	P504	P502	P501	P500	P50	P4700	P4536	P4522	P4521	P4514	P4512	P4511	P4400	P4348	P4342	P4340	P4331	P4330	P4322	P4321	P4320	P4318	P4317	P4312	P4310	P4304	P43	P4220	P4212	P4211	P4210	P4200	P42	P410	P41	P4000	P400	P40	P3700	P361	P350	P341	P340	P3200	P320	P314	P313	P3100	P310	P31	P308	P307	P306	P304	P303	P302	P301	P300	P30	P2990	P2980	P2938	P2800	P2560	P2550	P2528	P2527	P2526	P2524	P2523	P2521	P2513	P2511	P241	P240	P23	P221	P220	P211	P2100	P204	P202	P201	P1930	P1827	P1823	P1810	P17	P169	P164	P1600	P160	P16	P1511	P1510	P143	P14	P123	P1224	P122	P1200	P12	P118	P114	P112	P110	P11	P10	Measure fish message for main menu	Measure fish message	Measure fish flag for main menu	Measure fish flag	Location	GPnum_wt_year	GPnum	g_filterText	Date_tow_num	DATE	dataentrybox weight	dataentrybox Townum	dataentrybox GPnum	dataentrybox count	dataentrybox comment	dataentrybox code	COMMENT	Code_entry	code_calc	class_data	C9999	C9998	C9997	C9996	C9995	C9994	C9993	C9992	C9991	C9630	C9400	C9303	C9302	C9304	C9300	C9200	C9001	C9000	C880	C868	C8500	C8361	C8351	C8324	C8318	C8300	C8200	C8113	C770	C720	C712	C701	C70	C6713	C6600	C6500	C647	C646	C643	C642	C6413	C641	C6400	C640	C64	C633	C632	C631	C6300	C630	C63	C628	C627	C626	C625	C624	C623	C622	C621	C6200	C620	C62	C617	C616	C6135	C6125	C6123	C6121	C6120	C6119	C6117	C6115	C6113	C6111	C6110	C6100	C610	C61	C603	C6000	C600	C60	C598	C59	C520	C52	C512	C51	C509	C505	C504	C502	C501	C500	C50	C4700	C4536	C4522	C4521	C4514	C4512	C4511	C4400	C4348	C4342	C4340	C4331	C4330	C4322	C4321	C4320	C4318	C4317	C4312	C4310	C4304	C43	C4220	C4212	C4211	C4210	C4200	C42	C410	C41	C4000	C400	C40	C3700	C361	C350	C341	C340	C3200	C320	C314	C313	C3100	C310	C31	C308	C307	C306	C304	C303	C302	C301	C300	C30	C2990	C2980	C2938	C2800	C2560	C2550	C2528	C2527	C2526	C2524	C2523	C2521	C2513	C2511	C241	C240	C23	C221	C220	C211	C2100	C204	C202	C201	C1930	C1827	C1823	C1810	C17	C169	C164	C1600	C160	C16	C1511	C1510	C143	C14	C123	C1224	C122	C1200	C12	C118	C114	C112	C110	C11	C10	_W303	_P303	_C303	__pk_sample_id	C8364	W8364	P8364	P8365	W8365	C8365	C8600	P8600	W8600	W8602	P8602	C8602	C8608	P8608	W8608	W8609	P8609	C8609	C8610	P8610	W8610	W8611	P8611	C8611	C8612	P8612	W8612	W8613	P8613	C8613	C8614	P8614	W8614	W8616	P8616	C8616	C8617	P8617	W8617	W8618	P8618	C8618	C8619	P8619	W8619	W8620	P8620	C8620	C8621	P8621	W8621	W8623	P8623	C8623	C8625	P8625	W8625	W8626	P8626	C8626	C8627	P8627	W8627	W8628	P8628	C8628	C8629	P8629	W8629	W8630	P8630	C8630	C8631	P8631	W8631	W8632	P8632	C8632	C8633	P8633	W8633	W8634	P8634	C8634	C8635	P8635	W8635	W8636	P8636	C8636	C8637	P8637	W8637	W8638	P8638	C8638	W8639	C8639	P8639	W8640	P8640	C8640	C8641	P8641	W8641	W8642	P8642	C8642	C8643	P8643	W8643	W8644	P8644	C8644	C8645	P8645	W8645	W8646	P8646	C8646	C8647	P8647	W8647	W8648	P8648	C8648	C8649	P8649	W8649	W8650	P8650	C8650	C8651	P8651	W8651	TCsponge	TWsponge	TPsponge	TCsponge2	TWsponge2	TPsponge2	W205	C205	P205	P6114	W6114	C6114	C8347	W8347	P8347	P8346	W8346	C8346	C8348	W8348	P8348	P6101	W6101	C6101	C6131	W6131	P6131	P6129	W6129	C6129	P619	C619	W619	W2893	P2893	C2893
																									0.44																	10.69						1.71																		0.77																																																													5.15																0.1		0.32																								0.22																																	2.48						10.69	0.42								GP195	3					1						1	1									7/17/2019 7:53							13						371	8																																				1																	1						1																		1																																																													1																1		1																								1																														Measure Fish	0	1		G19_GP195F	GP195F			7/17/2019					Comment		Total plaice=116																													10																	371						9																		4																																																													100																5		3																								43																																AF2B101D-F805-4CDE-ADE0-95C520678809																																																																																																																																																																											
																																			1.89																																																			0.14																																		0.01		0.12					7.15																										0.02																																												1.42		0.01							0.14							0.02	1.42			GP205	4		1							1							1	1				7/17/2019 9:23				1							4							1	1																																									1																																																			1																																		1		1					1																										1																																												1			0	0		G19_GP205F	GP205F			7/17/2019						Code																																								81																																																			4																																		1		1					123																										1																																												1				97C6F9EC-54BD-4C6A-8489-4E59FF844D67																																																																																																																																																																											
																									0.1																	11.14																								0.79																																															0.05							0.12							0.52																0.01		0.03								0.01							0.21									0.27																														0.12			0.79						11.14	0.04				0.22		0.05		GP213	5		1			1						1	1				1			1		7/17/2019 11:00				11			6						302	2				2			1																													1																	1																								1																																															1							1							1																1		1								1							1									1																															0	0		G19_GP213F	GP213F			7/17/2019						Code																														1																	302																								6																																															1							11							17																1		1								1							1									71																																EC93160A-F11A-4840-9B68-1DB44C1BA579																																																																																																																																																																											
																				0.31					0.09																	7.5																								0.26							0.28													0.01																																		0.09		0.07					1.31									0.01									0.03																								0.07																														0.09			0.54				0.01		7.5	0.04								GP228	6		1			1				1		1	1									7/17/2019 12:02				4			3				2		157	3																															1					1																	1																								1							1													1																																		1		1					1									1									1																								1																															0	0		G19_GP228F	GP228F			7/17/2019						Code																									2					1																	157																								2							1													2																																		4		1					32									2									1																								14																																776D2623-B2E9-499C-8495-02CFA44E496F																																																																																																																																																																											
																				0.31														10.58	1.02							1.32																								0.11						0.12														0.07																						0.08												0.14		1.72					0.28																0.11		0.69	0.39								0.52		2.65				1.83									0.71						0.22																								0.14			0.23				0.07		1.32	1.19				4.48				GP242	7		1			1				1		1	1				1					7/17/2019 13:29				1			2				1		27	19				29																											1														1	1							1																								1						1														1																						1												1		1					1																1		1	1								1		1				1									1						1																									0	0		G19_GP242F	GP242F			7/17/2019						Code																									1														11	45							27																								1						1														1																						1												1		51					7																8		7	4								1		16				13									27						1																										9D9F5870-2CFA-4C32-BE9D-8A4472DEE6D3																																																																																																																																																																											
																				2.51														13.21	7.5							1.32																								0.34						0.51																																0.08				0.23														3.05					1.06																0.02		0.19	0.03								0.99		5.21				1.95																																										0.85						1.32	0.24				7.16		0.08		GP253	8					1						1	1				1		1	1		7/17/2019 15:17							5						24	18				48		1	1																								1														1	1							1																								1						1																																1				1														1					1																1		1	1								1		1				1																																								0	0		G19_GP253F	GP253F			7/17/2019						Code																									1														20	402							24																								3						2																																1				1														117					13																8		9	1								1		28				20																																									CBCFBAB1-FB8C-41A3-BBA9-33C737CAA8CB																																																																																																																																																																											
																																																																																																																																																																																																																									GP239	9																					7/17/2019 15:58																																																																																																																																																																																																																																	0	0		G19_GP239F	GP239F			7/17/2019					Comment		Bad tow																																																																																																																																																																																																													86A478BC-5C9C-4FDA-92EA-80C134CE7037																																																																																																																																																																											
																				0.5														26.99	8.74							1.75																								0.65										0.01																																					0.06							0.66		0.4					1.02																			0.01							0.06			1.57				1.27																																							0.66			0.65						1.75	0.01				2.9		0.06		GP239	10		1			1						1	1				1			1		7/17/2019 16:48				9			7						34	1				18			1																								1														1	1							1																								1										1																																					1							1		1					1																			1							1			1				1																																								0	0		G19_GP239A1	GP239A1			7/17/2019			GPnum																												1														38	510							34																								7										1																																					1							9		11					16																			1							1			10				7																																									79F2672E-32D1-4146-95F0-00D1EE877D49																																																																																																																																																																											
																																			0.31							6.67																								1.25																				0.02					0.01																						0.04							0.17							0.4																																																																								0.17			1.25				0.02		6.67							0.04		GP224	11		1			1				1		1								1		7/17/2019 18:46				8			7				1		138								2																																							1							1																								1																				1					1																						1							1							1																																																																									0	0		G19_GP224F	GP224F			7/17/2019			GPnum																																											16							138																								7																				1					1																						2							8							19																																																																										805203F9-945D-474E-9A6F-1F1529A56137																																																																																																																																																																											
																																										12.25																								0.18																				0.16																											0.09							0.02		0.28					1.59																										0.02			0.16													0.2																														0.02			0.18				0.16		12.25					0.18		0.09		GP222	1		1			1				1		1					1			1		7/18/2019 5:49				1			1				5		198					2			1																																														1																								1																				1																											1							1		1					1																										1			1													1																															0	0		G19_GP222F	GP222F			7/18/2019						Code																																															198																								1																				5																											1							1		11					49																										1			1													42																																89415290-5AE7-457B-AF46-C926EB3B6C6B																																																																																																																																																																											
																									0.09										0.67							13.12						3.02												0.52						0.76																				0.28																																		0.16							3.12									0.08									0.08															0.48									0.09															0.09															0.16			3.78				0.28		13.12	0.16			0.52	0.48				GP211	2		1			1				1		1	1			1	1					7/18/2019 6:10				6			17				4		386	9			4	2																																1										1							1						1												1						1																				1																																		1							1									1									1															1									1															1																0	0		G19_GP211F	GP211F			7/18/2019						Code																														1										33							386						14												4						3																				4																																		6							88									8									1															2									17															2																	315CD594-6309-48CE-96A7-4E4262D18C80																																																																																																																																																																											
																									0.18										0.44							9.76						3.08												0.11						3.85																				0.03																																		0.53		0.14					2.76									0.07							0.02		0.2								0.17							0.37					0.05				0.44															0.37															0.53			6.93				0.03		9.76	0.29			0.11	0.54				GP194	3		1			1				1		1	1			1	1					7/18/2019 7:33				17			27				1		186	12			1	42																																1										1							1						1												1						1																				1																																		1		1					1									1							1		1								1							1					1				1															1																0	0		G19_GP194F	GP194F			7/18/2019						Code																														3										26							186						13												1						14																				1																																		17		2					71									9							1		2								8							34					1				81															10																	D4767316-750B-424A-ABA4-D0FBE7D79169																																																																																																																																																																											
																																			0.32							10.99														0.01										1.51																																																						0.08		1.16					6.4									0.03																								0.14									0.42																														0.08			1.51		0.01				10.99	0.03				0.14				GP186	4		1			1		1				1	1				1					7/18/2019 9:01				4			9		2				357	4				8																																										1							1														1										1																																																						1		1					1									1																								1									1																															0	0		G19_GP186F	GP186F			7/18/2019						Code																																								21							357														2										9																																																						4		27					81									4																								8									59																																4C78DA6F-715C-4CC2-9B56-55695D07B001																																																																																																																																																																											
																									0.02																	3.19		0.01																						1.61																																																								2.51					9.96			0.04		0.01													0.06															0.02																								0.02																		1.61						3.19	0.06				0.02			0.05	GP182	5					1						1	1				1				1	7/18/2019 9:56							8						61	1				1				2																												1																	1		1																						1																																																								1					1			1		1													1															1																								1																0	0		G19_GP182F	GP182F			7/18/2019						Code																														1																	61		1																						8																																																								47					171			1		1													1															1																								1																	4B560349-B7B4-4BC1-999A-79ABC4D3AEB2																																																																																																																																																																											
																				2.45			0.02		0.09										0.83													4.58																		1.42																																																						0.23							7.51									0.16									0.15											0.21				0.09									0.04																														0.23			6							0.31				0.3				GP199	6		1			1							1				1					7/18/2019 10:45				5			33							15				6																											1			1		1										1													1																		1																																																						1							1									1									1											1				1									1																															0	0		G19_GP199F	GP199F			7/18/2019						Code																									1			1		1										43													28																		5																																																						5							137									13									2											1				5									7																																F82176B7-0EB5-4D12-9528-3A5442C20922																																																																																																																																																																											
																									0.07									1.36								1.45																								1.74	0.36																																																							0.53					2.19									0.01									0.03											0.18													0.04																																	2.1						1.45	0.04				0.18				GP219	7					1						1	1				1					7/18/2019 12:02							11						33	2				2																																1									1								1																								1	1																																																							1					1									1									1											1													1																															0	0		G19_GP219F	GP219F			7/18/2019						Code																														1									2								33																								10	1																																																							13					49									1									1											2													7																																55657545-103A-4EB6-BD6F-2EF275162207																																																																																																																																																																											
																				0.21					0.01																	1.96						3.99																		2.89																				0.01																																				0.92					5.02				0.01	0.01				0.02							0.04		1.15																								0.32																																	6.88				0.01		1.96	1.21							0.02	GP212	8					1				1		1	1								1	7/18/2019 13:09							35				1		26	20								2																							1					1																	1						1																		1																				1																																				1					1				1	1				1							1		1																								1																															0	0		G19_GP212F	GP212F			7/18/2019						Code																									1					1																	26						18																		17																				1																																				32					96				1	1				5							2		13																								64																																1BAFD860-9C55-4CA1-A96D-F0A11DAD2B13																																																																																																																																																																											
																									0.05																	2.21						0.91																		0.86																				0.19																																		0.21		0.04					3.08																		0.26	0.11										0.15													0.39																														0.21			1.77				0.19		2.21	0.37				0.15				GP196	9		1			1				1		1	1				1					7/18/2019 14:32				5			10				3		38	3				2																																1																	1						1																		1																				1																																		1		1					1																		1	1										1													1																															0	0		G19_GP196F	GP196F			7/18/2019			GPnum																																	1																	38						5																		5																				3																																		5		1					42																		2	1										2													56																																18D4FC3F-4E93-4335-B0F6-C1C3DC214232																																																																																																																																																																											
																									0.21																	3.74						1.46												0.68						2.96						1.04														1.02																																		0.03							15.78				0.01	0.01				0.05							0.08		0.9	0.66								0.44						0.27					0.04																																		0.03			5.46				1.02		3.74	1.69			0.68	0.27			0.02	GP159	1		1			1				1		1	1			1	1				1	7/25/2019 5:06				2			34				9		66	27			2	4				3																												1																	1						1												1						1						1														1																																		1							1				1	1				1							1		1	1								1						1					1																																			0	0		G19_GP159F	GP159F			7/25/2019						Code																														2																	66						8												2						24						2														9																																		2							236				1	2				7							7		10	3								1						4					1																																				421043E5-3385-46B8-BEEE-669C2275624F																																																																																																																																																																											
																																																																																																																																																																																																																									GP184	2																					7/25/2019 6:21																																																																																																																																																																																																																																	0	0		G19_GP184F	GP184F			7/25/2019					Comment		Bad tow																																																																																																																																																																																																													26A3176C-130B-4083-83FF-20546F82DA77																																																																																																																																																																											
																																																																																																																																																																																																																									GP184	3																					7/25/2019 7:48																																																																																																																																																																																																																																	0	0		G19_GP184A1	GP184A1			7/25/2019					Comment		Bad tow																																																																																																																																																																																																													2A7DD0EA-9022-43CC-A779-637958D159ED																																																																																																																																																																											
																																																																																																																																																																																																																									GP184	4																					7/25/2019 9:10																																																																																																																																																																																																																																	0	0		G19_GP184A2	GP184A2			7/25/2019					Comment		Badtow																																																																																																																																																																																																													9AB24818-59BF-4651-9622-153D4080CEF1																																																																																																																																																																											
																				1.49																						19.34																		0.65						4.12																				0.25																																		0.04							12.12																		0.33	0.18														1.62									0.02																														0.04			4.12				0.25		19.34	0.51			0.65	1.62				GP184	5		1			1				1		1	1			1	1					7/25/2019 10:03				6			41				3		356	4			2	15																											1																						1																		1						1																				1																																		1							1																		1	1														1									1																															0	0		G19_GP184A3	GP184A3			7/25/2019						Code																									2																						356																		2						41																				3																																		6							359																		3	1														15									19																																ECA1F3C4-EF06-4355-A23C-D42B4DCFCEFD																																																																																																																																																																											
																																																																																																																																																																																																																									GP202	6																					7/25/2019 11:22																																																																																																																																																																																																																																	0	0		G19_GP202F	GP202F			7/25/2019					Comment		Bad tow																																																																																																																																																																																																													22FC6A0B-F983-4559-A11E-26F9AF4AF5CB																																																																																																																																																																											
																																																																																																																																																																																																																									GP202	7																					7/25/2019 12:24																																																																																																																																																																																																																																	0	0		G19_GP202A1	GP202A1			7/25/2019					Comment		 Bad tow																																																																																																																																																																																																													B56629D9-B606-4216-8A63-39A966FF9E39																																																																																																																																																																											
																									0.1									0.26														3.93					0.26							1.41						1.17																				0.14																						0.02																			15.96																			0.55										0.08				0.51																																					0.61					5.1		0.26		0.14			0.55			1.41	0.59	0.61			GP202	8					1		1		1			1			1	1	1				7/25/2019 13:25							34		5		2			2			7	14	2																															1									1														1					1							1						1																				1																						1																			1																			1										1				1																																					1			0	0		G19_GP202A2	GP202A2			7/25/2019						Code																														2									1														24					5							7						10																				2																						1																			242																			2										2				12																																					2				5F2DC505-0F72-4DAB-BDA6-2C41DBDCA3F1																																																													2	1	0.2																																																																									2	0.2	1																																	
																																																																																																																																																																																																																									GP198	9																					7/25/2019 14:47																																																																																																																																																																																																																																Measure Fish	0	1		G19_GP198F	GP198F			7/25/2019					Comment		Bad tow																																																																																																																																																																																																													7F6E71E5-4551-40E0-986A-107B226097BF																																																																																																																																																																											
																																		0.16	0.01																		0.34							1.08						0.06																				0.26																		0.01																0.06							4.24									0.01										0.22														0.43																																							0.06			0.06		0.34		0.26			0.23			1.08	0.43		0.01		GP198	10		1			1		1		1			1			1	1		1	1		7/25/2019 15:46				2			1		4		4			4			6	8		1	1																																						1	1																		1							1						1																				1																		1																1							1									1										1														1																																							Measure Fish	0	1		G19_GP198A1	GP198A1			7/25/2019						Code																																							1	1																		4							6						1																				4																		1																2							86									2										2														8																																									2764CDE2-3DB1-42A7-AD3B-9D18148FCE9E																																																				0.04	1	1																																																																																		1	0.04	1																																	
																																			0.69							1.12						1.38												1.12						7.52																				0.16																											0.61							0.35		0.09					20.09			0.18	0.01					0.02									0.84								0.01							0.35									0.03					0.16	0.64									0.14															0.35			8.9				0.16		1.12	0.86			1.12	0.36		0.61	0.19	GP206	11		1			1				1		1	1			1	1			1	1	7/25/2019 17:40				8			48				3		17	9			1	11			8	6																																						1							1						1												1						1																				1																											1							1		1					1			1	1					1									1								1							1									1					1	1									1																0	0		G19_GP206F	GP206F			7/25/2019						Code																																								25							17						6												1						42																				3																											8							8		1					284			5	1					2									7								1							10									28					1	3									1																	B968185C-4126-4D93-A363-446F442F1FDE																																																																																																																																																																											
																																		0.71	0.77							2.78						3.42																		3.54																				0.45																		0.02																0.44							15.59					0.01				0.06							0.14		0.35								0.18							0.12									0.24						1.12									0.04															0.44			6.96				0.45		2.78	0.55				0.3		0.02	0.01	GP233	12		1			1				1		1	1				1		1	1	1	7/25/2019 19:18				16			33				6		52	16				9		1	1	1																																					1	1							1						1																		1																				1																		1																1							1					1				1							1		1								1							1									1						1									1															Measure Fish	0	1		G19_GP233F	GP233F			7/25/2019			GPnum				272 total plaices																																						2	24							52						12																		21																				6																		1																16							100					1				6							6		4								6							3									52						8									4																	3263C2E4-28D7-4F28-AA6F-287E44F08BBC																																																																																																																																																																											
																							0.08		0.07										1.32							5.32						1.45								0.01				2.9						12.62																				0.19					0.07													0.12																0.05							19.07			0.2		0.02				0.08							0.02													0.37				0.12									0.15						0.68																						0.05		0.05			14.07		0.01		0.19		5.32	0.1			2.9	0.49	0.05	0.12	0.22	GP220	1		1			1		1		1		1	1			1	1	1	1	1	1	7/26/2019 5:09				2			83		1		4		104	9			7	6	3	1	1	9																										1		1										1							1						1								1				1						1																				1					1													1																1							1			1		1				1							1													1				1									1						1																						1			0	0		G19_GP220F	GP220F			7/26/2019						Code																												1		2										53							104						7								1				7						76																				4					2													1																2							368			6		3				8							1													1				5									29						6																						3				7518E1B6-8998-4FF7-8864-D3DB2D54867B																																																																																																																																																																											
																		0.01																4.17								1.06											0.88							1.29			0.02			0.24	1.65																			0.09					0.02																													0.03							6.3			0.04		0.01				0.01										0.66							0.11			0.66				2.24					0.16				1.64						18.61									0.05								2.51							0.03			1.89		0.88		0.09		1.06	0.68			1.29	3.01	2.51		0.05	GP226	2		1			1		1		1		1	1			1	1	1			1	7/26/2019 6:22				1			7		19		2		23	8			8	43	1			3																					1																1								1											1							1			1			1	1																			1					1																													1							1			1		1				1										1							1			1				1					1				1						1									1								1								0	0		G19_GP226F	GP226F			7/26/2019						Code																							1																11								23											19							8			1			3	4																			2					2																													1							83			1		2				2										5							2			3				38					3				418						156									1								1									D771CA73-B49E-4C9E-BCBD-093F1714215E																																		1.64	1	1																																																																																																				1	1.64	1																																	
																																																																																																																																																																																																																									GP240	3																					7/26/2019 7:49																																																																																																																																																																																																																																Measure Fish	0	1		G19_GP240F	GP240F			7/26/2019					Comment		Bad tow																																																																																																																																																																																																													BE442874-32A3-4753-8FC5-7CB77092A089																																																																																																																																																																											
																																																																																																																																																																																																																									GP240	4																					7/26/2019 8:53																																																																																																																																																																																																																																Measure Fish	0	1		G19_GP240A1	GP240A1			7/26/2019					Comment		Bad tow																																																																																																																																																																																																													7EB2160C-5431-4F9D-9CFE-628A79A2EC0C																																																																																																																																																																											
																																		4.17								8.01														0.01										3.98						0.54														0.63																											0.04									0.15					2.83					0.02													0.37											2.65				3.51															0.65																						0.02					4.52		0.01		0.63		8.01	0.37				6.16	0.02	0.04	0.02	GP240	5					1		1		1		1	1				1	1		1	1	7/26/2019 10:10		50					20		1		7		212	10				67	2		1	14																																					1								1														1										1						1														1																											1									1					1					1													1											1				1															1																						1		Measure Fish	0	1		G19_GP240A2	GP240A2			7/26/2019						Code																																							14								212														1										19						1														7																											1									2					50					14				6									4											38				29															8																						2				0F1E36D0-A6E5-4FB1-80DE-E642CFF2095E																																																													1	1	0.07																																																																									1	0.07	1																																	
																																										4.35	0.38																													1.26														0.11																						0.69																			4.01					0.1											0.07				0.19									2.74				0.78									0.14																												1.2					1.26				0.11		4.35	0.26				3.52	1.2		0.1	GP234	6					1				1		1	1				1	1			1	7/26/2019 11:48							4				1		109	17				41	31			28																																													1	1																													1														1																						1																			1					1											1				1									1				1									1																												1			0	0		G19_GP234F	GP234F			7/26/2019						Code																																															109	4																													4														1																						7																			31					28											11				6									28				13									11																												31				79A3EE1C-13A9-42F1-A9D9-94A1DF23F816																																																																																																																																																																											
																																										4.4																		0.43						2.9						0.78														0.14					0.02																													0.03		0.98					11.71					0.02													0.11								0.01			0.15				1.2																																					0.04		0.03			3.68				0.14		4.4	0.11			0.43	1.36	0.04		0.02	GP214	7		1			1				1		1	1			1	1	1			1	7/26/2019 13:46				1			30				3		108	1			1	21	2			5																																													1																		1						1						1														1					1																													1		1					1					1													1								1			1				1																																					1			0	0		G19_GP214F	GP214F			7/26/2019						Code																																															108																		1						28						2														3					1																													1		12					328					5													1								1			4				16																																					2				F8551E2E-04E5-48F7-BE60-EC56C9BA24B9																																																																																																																																																																											
																																		3.76								4.99	0.04					4.24					0.03							0.28						1.25	18.95																								0.03																									0.02						1.34					1.62					0.01											0.01			0.09								0.24		1.21				0.62									0.08																												3.34					24.44		0.03				4.99	0.1			0.28	1.83	3.34		0.01	GP192	8					1		1				1	1			1	1	1			1	7/26/2019 15:02							74		1				166	7			1	22	107			5																																					1								1	1					1					1							1						1	1																								1																									1						1					1					1											1			1								1		1				1									1																												1			0	0		G19_GP192F	GP192F			7/26/2019						Code																																							16								166	1					20					1							1						8	46																								1																									1						17					38					5											6			1								1		9				13									4																												107				F2BD5BAB-381C-4F3A-A43A-D1DEC9061EFE																																																																																																																																																																											
																																		0.64								9.46																								1.52	0.4																								0.01													0.1																		2.67					7.98					0.01											0.02													1.03				1.41																																					0.55					1.92						9.46	0.02				2.44	0.55	0.1	0.01	GP197	9					1						1	1				1	1	1	1	1	7/26/2019 16:17							22						263	2				21	20	1	1	7																																					1								1																								1	1																								1													1																		1					1					1											1													1				1																																					1			0	0		G19_GP197F	GP197F			7/26/2019						Code																																							1								263																								19	3																								1													1																		37					109					7											2													5				16																																					20				CD435A68-59CA-4421-B1FB-CB740D10F8B5																																																													1	1	0.13																																																																									1	0.13	1																																	
																																																																																																																																																																																																																									GP189	10																					7/26/2019 17:10																																																																																																																																																																																																																																	0	0		G19_GP189F	GP189F			7/26/2019					Comment		Bad tow																																																																																																																																																																																																													A932755B-4891-436F-BFD2-AF3986F861E3																																																																																																																																																																											
																																		0.44								0.43	1.06					0.45															0.01																							0.07																																				1.56					0.08																0.01			1.7										1.01				0.24															0.31									0.04													2.11					0.45				0.07		0.43	1.71				1.25	2.11			GP189	11					1				1		1	1				1	1				7/26/2019 17:41							2				1		18	3				9	22																																								1								1	1					1															1																							1																																				1					1																1			1										1				1															1									1													1			0	0		G19_GP189A1	GP189A1			7/26/2019						Code																																							1								18	4					2															1																							1																																				13					2																1			2										8				1															2									2													22				BA09D5F7-029F-4E8B-9A2E-4D0795045E2E																																																																																																																																																																											
																																										0.44																		1.22						0.11	0.81																								0.02																															2.85					4.49					0.01											0.05			1.06										0.83				1.49																																					0.41					0.92						0.44	1.11			1.22	2.32	0.41		0.01	GP162	12					1						1	1			1	1	1			1	7/26/2019 19:00							7						12	10			4	15	5			4																																													1																		1						1	1																								1																															1					1					1											1			1										1				1																																					1			0	0		G19_GP162F	GP162F			7/26/2019						Code																																															12																		4						1	6																								1																															28					131					4											3			7										6				9																																					5				47493531-D8BB-4E6D-A771-186252C98B14																																																																																																																																																																											
																																		2.21								3.72											0.16							1.43						1.28						0.29																			0.03																															0.87					3.55																0.01			0.49										0.68				1.97																																					2.5					1.57		0.16				3.72	0.5			1.43	2.65	2.5			GP174	13					1		1				1	1			1	1	1				7/26/2019 20:11							24		3				112	5			6	30	3																																								1								1											1							1						1						1																			1																															1					1																1			1										1				1																																					1			0	0		G19_GP174F	GP174F			7/26/2019						Code																																							5								112											3							6						23						1																			1																															8					61																1			4										6				24																																					3				11215A7B-6EA3-4F93-81C3-29249A7BA8C6																																																																																																																																																																											
