Date,Esonar file,GPA_lat_end,GPA_lat_start,GPA_lon_end,GPA_lon_start,GPA_time_end,GPA_time_start,GPNumber,Start_odii_Tilt_file,Tow Quality,Trawl Number,Zone
13.07.2019,GP325F.TXT,4747.0546,4746.9180,06057.256,06057.081,17:50:59,17:45:57,GP325F,H941GP325F,Good,7,ZoneF
13.07.2019,GP326F.TXT,4749.3152,4749.2032,06058.748,06058.548,19:03:58,18:58:58,GP326F,H941GP326F,Good,8,ZoneF
13.07.2019,GP315F.TXT,4750.6603,4750.5614,06105.507,06105.293,20:08:51,20:03:51,GP315F,H941GP315F,Good,9,ZoneF
14.07.2019,GP324F.TXT,4754.9166,4754.7860,06058.027,06057.838,05:26:34,05:21:27,GP324F,H941GP324F,Good,1,ZoneF
14.07.2019,GP313F.TXT,4758.1095,4758.035,06106.430,06106.198,06:47:21,06:42:20,GP313F,H941GP313F,Good,2,ZoneF
14.07.2019,GP320F.TXT,4802.1084,4801.9379,06101.191,06101.108,08:15:14,08:10:12,GP320F,H941GP320F,Good,3,Zone12
14.07.2019,GP312F.TXT,4804.7951,4804.6699,06106.892,06106.710,09:57:43,09:52:41,GP312F,H941GP312F,Good,4,Zone12
14.07.2019,GP316F.TXT,4811.7144,4811.5551,06114.439,06114.314,11:53:39,11:48:35,GP316F,H941GP316F,Good,5,Zone12
14.07.2019,GP295F.TXT,4805.7417,4806.6535,06124.264,06124.033,14:12:33,14:07:32,GP295F,H941GP295F,Good,6,ZoneE
14.07.2019,GP293F.TXT,4813.2077,4813.0331,06125.852,06125.759,15:46:14,15:41:13,GP293F,H941GP293F,Good,7,Zone12
14.07.2019,GP282F.TXT,4813.6005,4813.484,06136.708,06136.514,17:45:55,17:40:54,GP282F,H941GP282F,Good,8,ZoneE
14.07.2019,GP273F.TXT,4806.8597,4806.6981,06142.643,06142.534,20:01:22,19:56:22,GP273F,H941GP273F,Good,9,Zone12
15.07.2019,GP269F.TXT,4817.1409,4816.983,06146.817,6146.967,05:32:29,05:27:27,GP269F,H941GP269F,Good,1,ZoneE
15.07.2019,GP260F.TXT,4814.315,4814.135,06153.083,06153.063,07:35:06,07:30:05,GP260F,H941GP260F,Good,2,ZoneE
15.07.2019,GP250F.TXT,4817.157,4817.0193,6156.776,06156.605,09:03:17,08:58:21,GP250F,H941GP250F,Good,3,ZoneE
15.07.2019,GP251F.TXT,4814.1034,4814.2228,06201.268,06201.077,10:22:01,10:16:59,GP251F,H941GP251F,Bad,4,ZoneE
15.07.2019,GP251A1.TXT,4813.4351,4813.4780,06159.020,06159.274,11:14:39,11:09:38,GP251A1,H941GP251A1,Bad,5,ZoneE
15.07.2019,GP251A2.TXT,4814.9362,4814.8661,06157.152,06156.895,12:25:23,12:20:24,GP251A2,H941GP251A2,Good,6,ZoneE
15.07.2019,GP237F.TXT,4821.6739,4821.5555,06206.922,06206.716,14:16:28,14:11:25,GP237F,H941GP237F,Good,7,ZoneE
15.07.2019,GP235F.TXT,4824.1614,4824.3489,06207.102,06207.105,16:08:53,16:03:51,GP235F,H941GP235F,Good,8,ZoneE
15.07.2019,GP208F.TXT,4815.9843,4816.1401,06222.540,06222.681,19:13:07,19:08:05,GP208F,H941GP208F,Good,9,Zone12
15.07.2019,GP207F.TXT,4809.0940,4809.2411,06217.852,06218.009,20:27:14,20:22:12,GP207F,H941GP207F,Good,10,Zone12
16.07.2019,GP227F.TXT,4811.1083,4811.1452,06212.533,06212.780,05:34:46,05:29:44,GP227F,H941GP227F,Good,1,Zone12
16.07.2019,GP230F.TXT,4808.4806,4808.5357,06210.927,06211.193,06:31:24,06:26:22,GP230F,H941GP230F,Good,2,Zone12
16.07.2019,GP249F.TXT,4802.7173,4802.6978,06158.758,06159.032,08:10:18,08:05:20,GP249F,H941GP249F,Good,3,Zone12
16.07.2019,GP243F.TXT,4800.8017,4800.9578,06200.486,06200.336,08:51:36,08:46:35,GP243F,H941GP243F,Good,4,Zone12
16.07.2019,GP261F.TXT,4802.5918,4802.6075,06153.043,06153.327,09:48:30,09:43:28,GP261F,H941GP261F,Good,5,Zone12
16.07.2019,GP257F.TXT,4759.0498,4759.1384,06154.628,06154.861,10:47:07,10:42:05,GP257F,H941GP257F,Good,6,Zone12
16.07.2019,GP278F.TXT,4757.0504,4757.1167,06140.054,06140.307,12:17:57,12:12:55,GP278F,H941GP278F,Good,7,Zone12
16.07.2019,GP287F.TXT,4801.7270,4801.7956,06133.144,06133.396,13:36:26,13:31:25,GP287F,H941GP287F,Good,8,Zone12
16.07.2019,GP290F.TXT,4802.5448,4802.5024,06127.432,06127.694,14:25:53,14:20:51,GP290F,H941GP290F,Good,9,Zone12
16.07.2019,GP303F.TXT,4757.1987,4757.3626,06122.663,06122.780,15:32:26,15:27:27,GP303F,H941GP303F,Good,10,Zone12
16.07.2019,GP300F.TXT,4754.2043,4754.3921,06122.609,06122.629,16:14:59,16:09:59,GP300F,H941GP300F,Good,11,Zone12
16.07.2019,GP281F.TXT,4753.7186,4753.6821,06144.603,06144.334,18:25:21,18:20:22,GP281F,H941GP281F,Good,12,Zone12
16.07.2019,GP258F.TXT,4751.8615,4751.9102,06154.629,06154.367,19:37:38,19:32:37,GP258F,H941GP258F,Good,13,Zone12
16.07.2019,GP247F.TXT,4752.0516,4752.0453,06158.959,06159.228,20:29:49,20:24:48,GP247F,H941GP247F,Good,14,Zone12
17.07.2019,GP223F.TXT,4750.4078,4750.2961,06211.040,06211.240,05:34:28,05:29:26,GP223F,H941GP223F,Good,1,Zone12
17.07.2019,GP216F.TXT,4745.6385,4745.5433,06222.660,06222.891,07:15:14,07:10:11,GP216F,H941GP216F,Good,2,Zone12
17.07.2019,GP195F.TXT,4745.3468,4745.2125,06234.954,06235.140,08:48:31,08:43:25,GP195F,H941GP195F,Good,3,Zone12
17.07.2019,GP205F.TXT,4736.0800,4735.9269,06227.875,06228.007,10:33:49,10:28:47,GP205F,H941GP205F,Good,4,Zone12
17.07.2019,GP213F.TXT,4737.9734,4737.8700,06223.151,06223.310,11:32:14,11:27:10,GP213F,H941GP213F,Good,5,Zone12
17.07.2019,GP228F.TXT,4743.6268,4743.4841,06212.517,06212.691,12:56:35,12:51:35,GP228F,H941GP228F,Good,6,Zone12
17.07.2019,GP242F.TXT,4742.5069,4742.3591,06157.544,06157.686,14:38:16,14:33:14,GP242F,H941GP242F,Good,7,Zone12
17.07.2019,GP253F.TXT,4741.9957,4741.8494,06156.151,06156.302,15:24:55,15:19:53,GP253F,H941GP253F,Good,8,Zone12
17.07.2019,GP239F.TXT,4739.7373,4739.6548,06204.973,06200.060,16:43:44,16:40:34,GP239F,H941GP239F,Bad,9,Zone12
17.07.2019,GP239A1.TXT,4740.5491,4740.4164,06158.970,06159.153,18:12:42,18:07:42,GP239A1,H941GP239A1,Good,10,Zone12
17.07.2019,GP224F.TXT,4739.2243,4739.0797,06212.956,06213.114,19:55:11,19:50:14,GP224F,H941GP224F,Good,11,Zone12
18.07.2019,GP222F.TXT,4733.4317,4733.5800,06216.688,06216.835,05:34:23,05:29:21,GP222F,H941GP222F,Good,1,Zone12
18.07.2019,GP211F.TXT,4730.3531,4730.5116,06223.582,06223.699,06:55:02,06:50:01,GP211F,H941GP211F,Good,2,Zone12
18.07.2019,GP194F.TXT,4729.2502,4729.4117,06234.724,06234.877,08:26:09,08:21:10,GP194F,H941GP194F,Good,3,Zone12
18.07.2019,GP186F.TXT,4729.1276,4729.2784,06239.422,06239.563,09:26:07,09:21:06,GP186F,H941GP186F,Good,4,Zone12
18.07.2019,GP182F.TXT,4726.4454,4726.5854,06240.791,06240.953,10:17:57,10:12:56,GP182F,H941GP182F,Good,5,Zone12
18.07.2019,GP199F.TXT,4725.7015,4725.7836,06230.852,06231.091,11:29:47,11:24:46,GP199F,H941GP199F,Good,6,Zone12
18.07.2019,GP219F.TXT,4723.0708,4723.1489,06221.627,06221.857,12:40:02,12:35:01,GP219F,H941GP219F,Good,7,Zone12
18.07.2019,GP212F.TXT,4719.0956,4719.1659,06226.835,06227.085,13:50:12,13:45:08,GP212F,H941GP212F,Good,8,Zone12
18.07.2019,GP196F.TXT,4716.6881,4716.7268,06234.035,06234.301,15:16:50,15:11:49,GP196F,H941GP196F,Good,9,Zone12
25.07.2019,GP159F.TXT,4650.0290,4650.1974,06250.290,06250.259,05:43:23,05:38:21,GP159F,H941GP159F,Good,1,Zone12
25.07.2019,GP184F.TXT,4648.2574,4648.426,06240.576,06240.521,07:34:20,07:29:17,GP184F,H941GP184F,Bad,2,Zone12
25.07.2019,GP184A1.TXT,4652.9533,4653.1237,06241.942,06241.896,08:52:23,08:47:22,GP184A1,H941GP184A1,Bad,3,Zone12
25.07.2019,GP184A2.TXT,4650.1868,4650.3632,06240.788,06240.782,09:47:26,09:42:25,GP184A2,H941GP184A2,Bad,4,Zone12
25.07.2019,GP184A3.TXT,4649.1536,4649.3271,06241.648,06241.641,10:46:29,10:41:28,GP184A3,H941GP184A3,Good,5,Zone12
25.07.2019,GP202F.TXT,4650.1234,4650.2988,06236.096,06236.080,12:10:05,12:05:04,GP202F,H941GP202F,Bad,6,Zone12
25.07.2019,GP202A1.TXT,4647.8014,4647.9705,06231.881,06231.825,13:11:45,13:06:46,GP202A1,H941GP202A1,Bad,7,Zone12
25.07.2019,GP202A2.TXT,4649.7572,4649.9292,06236.018,06235.973,14:12:41,14:07:40,GP202A2,H941GP202A2,Good,8,Zone12
25.07.2019,GP198F.TXT,4653.4071,4653.5722,06230.115,06230.022,15:30:51,15:25:50,GP198F,H941GP198F,Bad,9,Zone12
25.07.2019,GP198A1.TXT,4657.8239,4657.9909,06235.243,06235.152,16:52:44,16:47:43,GP198A1,H941GP198A1,Good,10,Zone12
25.07.2019,GP206F.TXT,4652.8480,4652.6801,06226.020,06226.135,18:40:38,18:35:33,GP206F,H941GP206F,Good,11,Zone12
25.07.2019,GP233F.TXT,4648.7247,4648.7790,06212.706,06212.956,20:26:36,20:21:35,GP233F,H941GP233F,Good,12,Zone12
26.07.2019,GP220F.TXT,4644.1021,4644.0211,06217.921,06218.152,05:40:17,05:35:15,GP220F,H941GP220F,Good,1,Zone12
26.07.2019,GP226F.TXT,4642.2739,4642.3500,06212.518,06212.759,07:04:10,06:59:10,GP226F,H941GP226F,Good,2,Zone12
26.07.2019,GP240F.TXT,4633.6487,4633.7924,06205.060,06205.218,08:43:31,08:38:27,GP240F,H941GP240F,Bad,3,Zone12
26.07.2019,GP240A1.TXT,4635.4744,4635.4618,06201.566,06201.841,09:53:55,09:48:55,GP240A1,H941GP240A1,Bad,4,Zone12
26.07.2019,GP240A2.TXT,4637.2681,4637.4479,06157.798,06157.822,11:11:02,11:06:00,GP240A2,H941GP240A2,Good,5,Zone12
26.07.2019,GP234F.TXT,4635.1304,4635.1038,06214.336,06214.589,13:14:32,13:09:31,GP234F,H941GP234F,Good,6,Zone12
26.07.2019,GP214F.TXT,4638.4036,4638.3074,06222.618,06222.408,14:29:50,14:24:48,GP214F,H941GP214F,Good,7,Zone12
26.07.2019,GP192F.TXT,4636.8164,4636.8519,06232.332,06232.076,15:43:46,15:38:47,GP192F,H941GP192F,Good,8,Zone12
26.07.2019,GP197F.TXT,4639.7837,4639.6700,06234.671,06234.468,16:41:11,16:36:10,GP197F,H941GP197F,Good,9,Zone12
26.07.2019,GP189F.TXT,4636.6566,4636.8121,06237.915,06237.788,17:31:52,17:26:50,GP189F,H941GP189F,Bad,10,Zone12
26.07.2019,GP189A1.TXT,4634.5868,4634.7148,06240.939,06240.748,18:26:22,18:21:22,GP189A1,H941GP189A1,Good,11,Zone12
26.07.2019,GP162F.TXT,4636.2632,4636.2021,06250.819,06250.575,19:42:46,19:37:46,GP162F,H941GP162F,Good,12,Zone12
26.07.2019,GP174F.TXT,4639.8365,4639.7216,06247.187,06247.385,20:34:31,20:29:30,GP174F,H941GP174F,Good,13,Zone12
27.07.2019,GP170F.TXT,4642.3816,4642.2474,06252.626,06252.800,06:33:38,06:28:36,GP170F,H941GP170F,Good,1,Zone12
27.07.2019,GP154F.TXT,4636.1167,4636.0055,06303.976,06204.182,08:25:05,08:20:01,GP154F,H941GP154F,Good,2,Zone12
27.07.2019,GP133F.TXT,4637.3065,4637.186,06309.992,06310.174,09:30:11,09:25:10,GP133F,H941GP133F,Good,3,Zone12
27.07.2019,GP141F.TXT,4640.5458,4640.4013,06307.121,06307.269,10:26:28,10:21:24,GP141F,H941GP141F,Good,4,Zone12
27.07.2019,GP128F.TXT,4644.2449,4644.2753,06314.042,06314.300,11:46:43,11:41:42,GP128F,H941GP128F,Bad,5,Zone12
27.07.2019,GP128A1.TXT,4639.5959,4639.6333,06315.906,06316.153,12:50:24,12:45:22,GP128A1,H941GP128A1,Bad,6,Zone12
27.07.2019,GP128A2.TXT,4645.4883,4645.4351,06316.560,06316.819,14:10:07,14:05:07,GP128A2,H941GP128A2,Good,7,Zone12
27.07.2019,GP094F.TXT,4647.1874,4647.0366,06329.721,06329.877,15:59:26,15:54:27,GP094F,H941GP094F,Good,8,Zone12
27.07.2019,GP099F.TXT,4647.5700,4647.4364,06325.239,06325.418,16:51:07,16:46:06,GP099F,H941GP099F,Good,9,Zone12
27.07.2019,GP123F.TXT,4649.6315,4649.5722,06317.010,06317.252,17:53:09,17:48:08,GP123F,H941GP123F,Good,10,Zone12
27.07.2019,GP147F.TXT,4653.0056,4652.9026,06301.106,06301.320,19:35:07,19:30:06,GP147F,H941GP147F,Good,11,Zone12
27.07.2019,GP149F.TXT,4655.5958,4655.4783,06300.935,06301.124,20:20:32,20:15:30,GP149F,H941GP149F,Good,12,Zone12
28.07.2019,GP158F.TXT,4656.4283,4656.3902,06254.784,06255.038,05:57:02,05:52:01,GP158F,H941GP158F,Good,1,Zone12
28.07.2019,GP176F.TXT,4659.3038,4659.1696,06246.152,06246.308,07:25:47,07:20:45,GP176F,H941GP176F,Good,2,Zone12
28.07.2019,GP179F.TXT,4700.8302,4700.7033,06241.189,06241.358,08:50:05,08:45:11,GP179F,H941GP179F,Good,3,Zone12
28.07.2019,GP163F.TXT,4705.8524,4705.7307,06252.518,06252.719,10:31:06,10:25:59,GP163F,H941GP163F,Good,4,Zone12
28.07.2019,GP150F.TXT,4703.1535,4703.1339,06258.703,06258.736,11:41:04,11:39:58,GP150F,H941GP150F,Bad,5,Zone12
28.07.2019,GP150A1.TXT,4703.3508,4703.2379,06301.943,06302.170,12:42:57,12:37:56,GP150A1,H941GP150A1,Bad,6,Zone12
28.07.2019,GP150A2.TXT,4705.5340,4705.4229,06305.627,06305.844,13:48:36,13:43:41,GP150A2,H941GP150A2,Good,7,Zone12
28.07.2019,GP127F.TXT,4657.5739,4657.4591,06311.903,06312.093,15:35:28,15:30:27,GP127F,H941GP127F,Good,8,Zone12
28.07.2019,GP125F.TXT,4700.417,4700.2584,6317.159,06317.280,16:58:54,16:53:53,GP125F,H941GP125F,Good,9,Zone12
28.07.2019,GP113F.TXT,4654.6256,4654.4564,06318.940,06319.064,18:16:10,18:11:01,GP113F,H941GP113F,Good,10,Zone12
28.07.2019,GP084F.TXT,4657.3665,4657.2000,06330.778,06330.876,19:55:44,19:50:46,GP084F,H941GP084F,Bad,11,Zone12
28.07.2019,GP084A1.TXT,4659.2294,4659.0751,06333.685,06333.837,20:44:24,20:39:16,GP084A1,H941GP084A1,Bad,12,Zone12
29.07.2019,GP084A2.TXT,4655.3504,4655.1916,06334.889,06335.022,05:49:28,05:44:26,GP084A2,H951GP084A2,Good,1,Zone12
29.07.2019,GP077F.TXT,4657.7337,4657.6332,06343.915,06344.113,07:14:26,07:09:28,GP077F,H951GP077F,Good,2,Zone12
29.07.2019,GP068F.TXT,4705.7659,4705.6788,06342.257,06342.488,08:39:58,08:34:52,GP068F,H951GP068F,Good,3,Zone12
29.07.2019,GP049F.TXT,4711.8952,4711.8815,06348.720,06348.977,10:18:32,10:13:31,GP049F,H951GP049F,Bad,4,Zone12
29.07.2019,GP049A1.TXT,4713.3467,4713.2867,06351.715,06351.963,13:19:38,13:14:37,GP049A1,H951GP049A1,Bad,5,Zone12
29.07.2019,GP049A2.TXT,4711.2669,4711.1781,06351.345,06351.585,15:00:26,14:55:24,GP049A2,H951GP049A2,Good,6,Zone12
29.07.2019,GP061F.TXT,4711.7430,4711.6680,06345.973,06346.209,16:01:01,15:55:59,GP061F,H951GP061F,Good,7,Zone12
29.07.2019,GP076F.TXT,4714.2851,4714.2779,06338.372,06338.638,17:03:02,16:57:59,GP076F,H951GP076F,Good,8,Zone12
29.07.2019,GP080F.TXT,4709.4734,4709.6009,06334.105,06334.310,18:00:19,17:55:17,GP080F,H951GP080F,Bad,9,Zone12
29.07.2019,GP080A1.TXT,4710.2332,4710.0726,06331.679,06331.799,18:48:57,18:43:57,GP080A1,H951GP080A1,Good,10,Zone12
29.07.2019,GP088F.TXT,4706.4623,4706.3255,06333.681,06333.848,19:56:11,19:51:10,GP088F,H951GP088F,Good,11,Zone12
30.07.2019,GP106F.TXT,4704.9252,4704.8827,06319.396,06319.644,05:51:50,05:46:49,GP106F,H951GP106F,Good,1,Zone12
30.07.2019,GP105F.TXT,4710.0123,4709.9393,06320.787,06321.019,07:09:19,07:04:17,GP105F,H951GP105F,Bad,2,Zone12
30.07.2019,GP105A1.TXT,4712.0742,4711.9327,06322.572,06322.736,08:32:15,08:27:13,GP105A1,H951GP105A1,Bad,3,Zone12
30.07.2019,GP105A2.TXT,4711.2075,4711.0849,06319.166,06319.354,09:24:23,09:19:23,GP105A2,H951GP105A2,Good,4,Zone12
30.07.2019,GP124F.TXT,4710.5892,4710.4520,06314.681,06314.837,10:26:19,10:21:19,GP124F,H951GP124F,Good,5,Zone12
30.07.2019,GP097F.TXT,4716.1824,4716.0222,06320.758,06320.635,11:39:42,11:34:40,GP097F,H951GP097F,Good,6,Zone12
30.07.2019,GP079F.TXT,4722.0805,4721.9248,06329.271,06329.165,13:05:14,13:00:12,GP079F,H951GP079F,Good,7,Zone12
30.07.2019,GP090F.TXT,4720.4698,4720.3289,06330.892,06331.053,14:06:58,14:01:58,GP090F,H951GP090F,Good,8,Zone12
30.07.2019,GP067F.TXT,4723.3822,4723.2630,06342.554,06342.748,15:50:40,15:45:40,GP067F,H951GP067F,Bad,9,Zone12
30.07.2019,GP067A1.TXT,4721.9061,4722.0775,06348.101,06348.169,17:02:02,16:57:00,GP067A1,H951GP067A1,Good,10,Zone12
30.07.2019,GP066F.TXT,4730.6315,4730.4893,06343.280,06343.432,18:33:33,18:28:32,GP066F,H951GP066F,Good,11,Zone12
30.07.2019,GP050F.TXT,4729.2644,4729.3112,06354.031,06353.777,19:55:10,19:50:10,GP050F,H951GP050F,Good,12,Zone12
30.07.2019,GP048F.TXT,4726.5068,4726.6228,06350.093,06350.295,20:45:04,20:40:03,GP048F,H951GP048F,Good,13,Zone12
31.07.2019,GP046F.TXT,4719.8992,4719.7997,06356.865,06357.068,05:53:15,05:48:18,GP046F,H951GP046F,Good,1,Zone12
31.07.2019,GP044F.TXT,4724.9353,4724.8495,06404.955,06405.179,07:28:17,07:23:15,GP044F,H951GP044F,Good,2,Zone12
31.07.2019,GP025F.TXT,4718.8956,4718.8121,06411.408,06411.637,09:00:06,08:55:05,GP025F,H951GP025F,Good,3,Zone12
31.07.2019,GP036F.TXT,4713.4711,4713.3484,06405.655,06405.835,10:22:09,10:17:08,GP036F,H951GP036F,Good,4,Zone12
31.07.2019,GP026F.TXT,4705.2075,4705.0692,06411.209,06411.373,12:00:54,11:55:52,GP026F,H951GP026F,Good,5,Zone12
31.07.2019,GP024F.TXT,4711.3696,4711.1904,06414.754,06414.763,13:06:50,13:01:49,GP024F,H951GP024F,Good,6,Zone12
31.07.2019,GP016F.TXT,4718.1171,4717.9433,06426.678,06426.656,14:43:53,14:38:52,GP016F,H951GP016F,Good,7,Zone12
31.07.2019,GP023F.TXT,4721.5596,4721.4096,06416.998,06417.134,16:01:18,15:56:20,GP023F,H951GP023F,Good,8,Zone12
31.07.2019,GP019F.TXT,4726.155,4726.0010,6420.906,06420.785,17:02:56,16:57:57,GP019F,H951GP019F,Good,9,Zone12
31.07.2019,GP018F.TXT,4730.2029,4730.2405,06423.463,06423.725,18:13:09,18:08:09,GP018F,H951GP018F,Good,10,Zone12
31.07.2019,GP028F.TXT,4732.6123,4732.6301,06410.721,06410.974,19:36:53,19:31:55,GP028F,H951GP028F,Good,11,Zone12
31.07.2019,GP032F.TXT,4733.1512,4733.1460,06407.702,06407.966,20:21:24,20:16:23,GP032F,H951GP032F,Good,12,Zone12
01.08.2019,GP047F.TXT,4738.4225,4738.4240,06357.707,06357.708,05:55:06,05:54:55,GP047F,H951GP047F,Bad,1,Zone12
01.08.2019,GP047A1.TXT,4734.5730,4734.7451,06355.469,06355.385,06:55:20,06:50:20,GP047A1,H951GP047A1,Bad,2,Zone12
01.08.2019,GP047A2.TXT,4737.6192,4737.7906,06354.047,06353.977,08:02:34,07:57:36,GP047A2,H951GP047A2,Bad,3,Zone12
01.08.2019,GP047A3.TXT,4740.5814,4740.6472,06352.723,06352.958,09:20:22,09:15:18,GP047A3,H951GP047A3,Bad,4,Zone12
01.08.2019,GP040F.TXT,4740.8045,4740.9364,06405.606,06405.773,11:03:13,10:58:11,GP040F,H951GP040F,Good,5,Zone12
01.08.2019,GP022F.TXT,4739.4869,4739.5699,06409.728,06409.503,11:50:58,11:45:57,GP022F,H951GP022F,Good,6,Zone12
01.08.2019,GP030F.TXT,4741.9480,4741.7876,06409.439,06409.535,13:02:53,12:57:54,GP030F,H951GP030F,Good,7,Zone12
01.08.2019,GP042F.TXT,4745.7967,4745.7670,06400.348,06400.611,14:26:01,14:21:00,GP042F,H951GP042F,Good,8,Zone12
01.08.2019,GP052F.TXT,4745.2184,4745.2153,06352.522,06352.789,15:32:33,15:27:32,GP052F,H951GP052F,Good,9,Zone12
01.08.2019,GP051F.TXT,4749.2954,4749.3288,06352.355,06352.611,16:50:28,16:45:27,GP051F,H951GP051F,Good,10,Zone12
01.08.2019,GP041F.TXT,4749.3803,4749.4377,06401.126,06401.372,18:31:42,18:26:43,GP041F,H951GP041F,Good,11,Zone12
01.08.2019,GP031F.TXT,4751.7377,4751.8550,06411.140,06411.346,20:26:58,20:22:00,GP031F,H951GP031F,Good,12,Zone12
02.08.2019,GP039F.TXT,4756.7371,4756.6284,06403.268,06403.484,05:57:48,05:52:46,GP039F,H951GP039F,Good,1,Zone12
02.08.2019,GP045F.TXT,4756.4329,4756.3832,06357.878,06358.129,07:05:23,07:00:24,GP045F,H951GP045F,Good,2,Zone12
02.08.2019,GP053F.TXT,4802.3242,4802.3477,06356.369,06356.632,08:40:32,08:35:30,GP053F,H951GP053F,Good,3,Zone12
02.08.2019,GP043F.TXT,4806.4677,4806.4951,06403.904,06404.177,10:32:08,10:27:07,GP043F,H951GP043F,Bad,4,Zone12
07.08.2019,GP009F.TXT,4753.2863,4753.1504,06459.150,06458.979,15:57:38,15:52:36,GP009F,H951GP009F,Good,1,Zone12
07.08.2019,GP008F.TXT,4753.8709,4753.7708,06508.427,06508.211,17:10:04,17:04:58,GP008F,H951GP008F,Good,2,Zone12
07.08.2019,GP006F.TXT,4753.6957,4753.5754,06512.522,06512.328,17:56:19,17:51:19,GP006F,H951GP006F,Good,3,Zone12
07.08.2019,GP002F.TXT,4747.2496,4747.2201,06532.505,06532.251,20:08:41,20:03:41,GP002F,H951GP002F,Good,4,Zone12
08.08.2019,GP001F.TXT,4758.5688,4758.4317,06537.873,06537.702,06:20:14,06:15:13,GP001F,H951GP001F,Good,1,Zone12
08.08.2019,GP003F.TXT,4755.0569,4754.8870,06529.606,06529.510,08:05:05,08:00:03,GP003F,H951GP003F,Good,2,Zone12
08.08.2019,GP004F.TXT,4751.7949,4751.6272,06528.937,06529.010,09:08:31,09:03:29,GP004F,H951GP004F,Good,3,Zone12
08.08.2019,GP005F.TXT,4757.6649,4757.4995,06520.779,06520.684,10:27:45,10:22:43,GP005F,H951GP005F,Good,4,Zone12
08.08.2019,GP007F.TXT,4755.794,4755.625,06511.194,06511.142,12:18:51,12:13:50,GP007F,H951GP007F,Good,5,Zone12
08.08.2019,GP011F.TXT,4757.1877,4757.0103,06500.911,06500.905,13:49:58,13:44:56,GP011F,H951GP011F,Good,6,Zone12
08.08.2019,GP010F.TXT,4802.5956,4802.4204,06459.476,06459.425,14:55:44,14:50:43,GP010F,H951GP010F,Good,7,Zone12
08.08.2019,GP012F.TXT,4803.9679,4803.7883,06446.558,06446.517,16:42:27,16:37:24,GP012F,H951GP012F,Good,8,Zone12
08.08.2019,GP013F.TXT,4814.7221,4814.5477,06440.663,06440.579,18:37:47,18:32:40,GP013F,H951GP013F,Good,9,Zone12
09.08.2019,GP015F.TXT,4807.2319,4807.0501,06428.258,06428.186,06:18:55,06:13:53,GP015F,H951GP015F,Good,1,Zone12
