"variable","description","polygon","area","mean.sample","sd.sample","n","mean","sd","lowerCI","upperCI","mean.CV","mad.CV","sd.CV"
"MIGE83","Immature males, cw >= 83mm","zone19",3813.21275606925,13.623724108113,17.9738498789647,24,14.6362392320225,3.09556943411254,9.50306033312033,21.5769697716455,-0.000447189443026707,0.00318647459846813,0.00472702613514616
"MIGE83L98","Immature males, cw >= 83mm, cw < 98mm","zone19",3813.21275606925,12.0877257937264,14.9200218023499,24,12.6377991892732,2.90861389371188,7.89005777547104,19.2241327024797,-0.000309356197198022,0.00278414077757111,0.00391483964036978
"MIGE83L98SC345","Skip-moulter males, cw >= 83mm, cw < 98mm","zone19",3813.21275606925,6.1701630857742,10.1471708122342,24,6.2236108278203,1.31333555843922,4.0449208318079,9.16755071040019,-8.76551653369128e-05,0.00170746973882482,0.00263465183289671
"MIGE34L45","Immature males, cw >= 34mm, cw < 45mm","zoneE",2436.91866680957,0.474195278202267,1.25271845955273,13,0.568133575277156,2.15268865736519,0.00568170906285776,3.69928304125517,5.84638024822292e-05,0.000281460980933145,0.00048922738270785
"MMGE95SC12","Commercial crab, shell condition 1,2","zoneE",2436.91866680957,0.694793484293086,2.505113533477,13,0.756575382914218,1.10246651437081,0.0528614180439756,3.46690288249153,0.000150341629752617,0.00035100438083292,0.000687309454432129
"MMGE95SC3","Commercial crab, shell condition 3","zoneE",2436.91866680957,0.046319565619539,0.167007568898467,13,0.275957206798808,0.312991320984761,0.0307038191563041,1.08476587122424,-5.78692859272351e-05,8.34074369886341e-05,0.000122975498520869
"MMGE95SC4","Commercial crab, shell condition 4","zoneE",2436.91866680957,0,0,13,0.0458441643907141,0.21987106257648,0.000284244950845461,0.308053114685479,-1.30543238180861e-05,1.43174932009418e-05,1.8471681303301e-05
"MMGE95SC5","Commercial crab, shell condition 5","zoneE",2436.91866680957,0,0,13,0.0200592888617638,0.0263563115346798,0.00170629452165861,0.0864947084462288,-5.03581654085025e-06,5.61778563554752e-06,6.78845007407187e-06
"MM","Mature males","zoneE",2436.91866680957,1.27799149787478,3.48940307943475,13,3.76036326153304,2.479370032727,0.967006092462833,10.1919939485796,-0.000449307387175777,0.000588814822542382,0.000737764788809982
"MMGE95","Commercial crab","zoneE",2436.91866680957,0.741113049912624,2.49674919114948,13,1.05269582376393,1.27816941509486,0.103609902537593,4.32275888299414,8.97322312585971e-05,0.00031721858321892,0.000630401588048041
"MML95","Sub-legal mature males","zoneE",2436.91866680957,0.536878447962154,1.16851153427693,13,2.66408657734164,1.63529596561782,0.749529587184792,6.87766613219266,-0.000539521152543499,0.000618064177503596,0.000726231651823686
"FI","Immature females","zoneE",2436.91866680957,1.2495031501072,2.97779952135132,13,2.39983752502877,6.26563543400262,0.0516514735036017,14.2647499368263,-0.000146549688741962,0.00055370011883703,0.000777924058354442
"FIGNO","Immature females, orange gonads","zoneE",2436.91866680957,0.134186038820152,0.32778881843472,13,0.273896605527458,2.16088561380526,0.000636328537429078,1.86414500981769,-1.3483508758553e-05,2.82912954057369e-05,3.95736777590926e-05
"FM","Mature females","zoneE",2436.91866680957,0.134320331501697,0.328102816534817,13,9.73756848905198,8.52709194005465,1.66981048315862,32.1394429329259,-0.00227611586051332,0.0024040983616793,0.00410510495789117
"FP","Primiparous females","zoneE",2436.91866680957,0,0,13,2.52517573390749,2.55378130762325,0.342671246633798,9.19932378615791,-0.000651315051499468,0.000967317936619602,0.00189586693050363
"FMULT","Multiparous females","zoneE",2436.91866680957,0.134320331501697,0.328102816534817,13,7.46485965180582,8.40377769925862,0.841610499198748,29.2017187780489,-0.00172332251859425,0.00176348162334057,0.00253491828422175
"MIGE56L69","Immature males, cw >= 56mm, cw < 69mm","zoneE",2436.91866680957,0.347396742146543,1.2525567667385,13,3.66563195495391,1.90467251342176,1.24770281271751,8.47983248937456,-0.000834429123704709,0.00121030584747953,0.00208414744319701
"MIGE69L83","Immature males, cw >= 69mm, cw < 83mm","zoneE",2436.91866680957,1.0653500092494,3.49520947789782,13,2.5418249268747,1.85864322106607,0.568921019943426,7.39978440731015,-0.000153731145159514,0.000311295901506224,0.000519511823691352
"MIGE83","Immature males, cw >= 83mm","zoneE",2436.91866680957,0.995870660820089,3.24592432570552,13,1.45626702675116,2.08499839809554,0.105255177110711,6.60625228494082,0.000127830030921315,0.00039008658903035,0.00075467682712853
"MIGE83L98","Immature males, cw >= 83mm, cw < 98mm","zoneE",2436.91866680957,0.995870660820089,3.24592432570552,13,1.37591116091758,1.96470531978943,0.0999572626630831,6.23214945662678,0.000150768974948125,0.000442501360021106,0.000857400355169628
"MIGE83L98SC345","Skip-moulter males, cw >= 83mm, cw < 98mm","zoneE",2436.91866680957,0.648473918673546,2.0040908267816,13,0.683083016534465,0.853504359608867,0.0637920916455698,2.85583427086866,0.000135131294461045,0.000383311695314549,0.000723384971909945
"MIGE34L45","Immature males, cw >= 34mm, cw < 45mm","zoneF",2426.8307893941,0.28313177886622,0.456740565870494,17,0.470239959143444,2.43575142450169,0.00249842384991067,3.18019511043672,-0.000174393976747203,0.000241655472746711,0.000360580832748503
"MMGE95SC12","Commercial crab, shell condition 1,2","zoneF",2426.8307893941,7.01309359751111,16.3195818414074,17,6.75403729982762,1.2285266974516,4.66577744323149,9.4638201294683,0.00063345603001975,0.00408872771016306,0.00701508181156628
"MMGE95SC3","Commercial crab, shell condition 3","zoneF",2426.8307893941,2.58065917292877,3.49930920179504,17,2.47086754019264,0.37726987673343,1.81395129888179,3.28900588533269,6.81663426365204e-05,0.000979903023496714,0.00138371034773387
"MMGE95SC4","Commercial crab, shell condition 4","zoneF",2426.8307893941,0.0548423942824818,0.226120984388443,17,0.0912679914449077,0.252352113279654,0.00174504023432358,0.552162692886022,-9.61065560026842e-06,4.28176037502654e-05,9.39369605291859e-05
"MMGE95SC5","Commercial crab, shell condition 5","zoneF",2426.8307893941,0,0,17,0,0.032434845516138,0,NA,0,0,0
"MM","Mature males","zoneF",2426.8307893941,17.2220722615681,25.0640795898493,17,18.1122434687696,2.89506898350716,13.1007095269541,24.4170546984656,6.50684261330561e-06,0.00660369515750324,0.0102893191100185
"MMGE95","Commercial crab","zoneF",2426.8307893941,9.64859516472236,18.1949203001621,17,8.93884875915874,1.52146858094463,6.32748944263287,12.2723754648039,0.000510380645629449,0.00495537994714924,0.00766742888659489
"MML95","Sub-legal mature males","zoneF",2426.8307893941,7.57347709684572,8.01843916114427,17,8.43628470674979,1.87546055701316,5.35456382846503,12.665680146815,-0.000267215575667795,0.00232421493233545,0.00297137978658443
"FI","Immature females","zoneF",2426.8307893941,1.91198271773261,3.62887170976538,17,1.83098577520058,6.28479585154995,0.0224210275034128,11.6982718036288,-0.000393367591095678,0.000704863790467573,0.00109593508308996
"FIGNO","Immature females, orange gonads","zoneF",2426.8307893941,1.23582088079706,2.66352845748825,17,1.24242851251321,2.39176990697413,0.0499591269682453,6.56573709939766,-0.000192856640001904,0.000636827212214914,0.000971669167838977
"FM","Mature females","zoneF",2426.8307893941,31.4145591230892,45.881303423701,17,29.1962389010091,9.43047793593805,14.9840365533351,51.5140516667648,-0.000803149315821838,0.0118283495543516,0.0166057185527735
"FP","Primiparous females","zoneF",2426.8307893941,14.4305807415584,28.3716877424437,17,9.94873810952833,2.66336837185151,5.73845487161033,16.0946183951353,5.48216888087838e-05,0.00512589836368123,0.00923522408403647
"FMULT","Multiparous females","zoneF",2426.8307893941,16.9839783815308,37.8602945590854,17,18.0041116438329,9.33687174296278,6.1408659581431,41.5979418484152,-0.000557289438279508,0.0115012244436994,0.0171500763211054
"MIGE56L69","Immature males, cw >= 56mm, cw < 69mm","zoneF",2426.8307893941,13.1785313842611,30.5641954341727,17,10.3166184912896,1.95218822464857,7.01845839896388,14.6404405480449,0.000638217142361193,0.00624310956701932,0.011834048294712
"MIGE69L83","Immature males, cw >= 69mm, cw < 83mm","zoneF",2426.8307893941,14.8747070418143,22.3555724298107,17,11.0694655293138,2.08220144114228,7.54835438126692,15.6783399728901,0.000743480246374043,0.00585964840393068,0.0076018090840049
"MIGE83","Immature males, cw >= 83mm","zoneF",2426.8307893941,15.5609303946201,25.9653225801951,17,11.964454717332,2.42017017908019,7.9200339997926,17.3637125085795,0.00145432032975676,0.00878062575721869,0.0111028042831117
"MIGE83L98","Immature males, cw >= 83mm, cw < 98mm","zoneF",2426.8307893941,14.1732552422735,23.4439531738873,17,11.6120931688543,2.32195308840933,7.72425317539716,16.785639054649,0.000911070013506419,0.00815744324424518,0.0103210284995521
"MIGE83L98SC345","Skip-moulter males, cw >= 83mm, cw < 98mm","zoneF",2426.8307893941,3.45064947850081,5.55659405027984,17,2.80437007259784,1.03321450236733,1.30771230311298,5.29516159515732,0.000208480667644665,0.00209701759353284,0.00281112036700077
"MIGE34L45","Immature males, cw >= 34mm, cw < 45mm","zoneEF_unassigned",667.873695525035,0.0596315799575924,0.119263159915185,4,0.0536921402489274,1.07756537689283,2.19623860241071e-05,0.325086679403663,-2.3792311898242e-05,0.000118817117142252,0.000170102482317021
"MMGE95SC12","Commercial crab, shell condition 1,2","zoneEF_unassigned",667.873695525035,0.0613854499563451,0.12277089991269,4,0.0727119206621923,0.575552375896388,0.000167853685714363,0.494817598316943,3.19159198971298e-06,0.000182227733416908,0.000257001124987689
"MMGE95SC3","Commercial crab, shell condition 3","zoneEF_unassigned",667.873695525035,0,0,4,0.0786650489415796,0.163061324838428,0.00272108274832037,0.429352365320798,-0.000104180960133634,0.000104180960133634,0.000135077245619386
"MMGE95SC4","Commercial crab, shell condition 4","zoneEF_unassigned",667.873695525035,0,0,4,0.000193499767759357,0.106972768728704,3.30379571146075e-10,0.000370817919661651,0,0,0
"MMGE95SC5","Commercial crab, shell condition 5","zoneEF_unassigned",667.873695525035,0,0,4,0,0.015733795092834,0,NA,0,0,0
"MM","Mature males","zoneEF_unassigned",667.873695525035,0.12277089991269,0.245541799825381,4,0.250474679683336,1.2170036975816,0.00151294281105858,1.6851236197169,0.000174414531050851,0.000261621796576277,0.000348829062101703
"MMGE95","Commercial crab","zoneEF_unassigned",667.873695525035,0.0613854499563451,0.12277089991269,4,0.147836692932445,0.648311822745454,0.00109818523309784,0.983716751094363,-0.000236488296135,0.000203588444942705,0.00027270525204797
"MML95","Sub-legal mature males","zoneEF_unassigned",667.873695525035,0.0613854499563451,0.12277089991269,4,0.161952472123456,0.795293628232442,0.000957591332560845,1.09060856105167,9.19117647058824e-05,0.000137867647058824,0.000183823529411765
"FI","Immature females","zoneEF_unassigned",667.873695525035,0.0596315799575924,0.119263159915185,4,0.098920904836493,3.04015225064452,1.90265488013907e-05,0.54392882781073,2.30825416137537e-05,0.000116852451014996,0.000174025642099106
"FIGNO","Immature females, orange gonads","zoneEF_unassigned",667.873695525035,0,0,4,0.0118379429376809,1.07600943438997,3.61689809266935e-07,0.0468904040584064,-1.41803435547511e-05,2.12705153321266e-05,2.83606871095021e-05
"FM","Mature females","zoneEF_unassigned",667.873695525035,0.0613854499563451,0.12277089991269,4,1.3672788010202,4.25991725284636,0.0204344831094759,8.54436629309129,-0.00401605994751192,0.00401605994751192,0.00472286003564831
"FP","Primiparous females","zoneEF_unassigned",667.873695525035,0,0,4,0.232959022785691,1.2923821885764,0.0010794133377752,1.5822012307217,-0.000346106682014151,0.000346106682014151,0.000410740600583496
"FMULT","Multiparous females","zoneEF_unassigned",667.873695525035,0.0613854499563451,0.12277089991269,4,0.966817840158372,4.16864108233234,0.00743247822250344,6.41951117165188,-0.00383316105171624,0.00383316105171624,0.004488932642558
"MIGE56L69","Immature males, cw >= 56mm, cw < 69mm","zoneEF_unassigned",667.873695525035,0,0,4,0.0611734730239141,0.924815524873426,4.18315394894514e-05,0.389710780261293,-0.000138752112129439,0.000208128168194159,0.000277504224258879
"MIGE69L83","Immature males, cw >= 69mm, cw < 83mm","zoneEF_unassigned",667.873695525035,0.736625399476142,1.47325079895228,4,0.319138739817646,0.960026413704951,0.0051274873578109,1.97663077042979,0.000652900043045943,0.00187943233141821,0.00256592381842006
"MIGE83","Immature males, cw >= 83mm","zoneEF_unassigned",667.873695525035,3.1306579477736,6.2613158955472,4,1.79201271215929,1.12541788925318,0.490164365072304,4.69840710882548,0.00280082118151694,0.00797458940924153,0.0107158040028787
"MIGE83L98","Immature males, cw >= 83mm, cw < 98mm","zoneEF_unassigned",667.873695525035,3.06927249781726,6.13854499563451,4,2.03063773153194,1.01338159910739,0.721007365357689,4.57874501835141,0.00238989069191432,0.00758043103436286,0.0101884621050554
"MIGE83L98SC345","Skip-moulter males, cw >= 83mm, cw < 98mm","zoneEF_unassigned",667.873695525035,2.02571984855939,4.05143969711878,4,1.41440543615209,0.463422261527003,0.718817133547268,2.5132988072425,0.00154660466089106,0.00521556671263184,0.00696828899154723
"MIGE34L45","Immature males, cw >= 34mm, cw < 45mm","zone19_F_buffer",134.197262246948,0,NA,1,0.0151533052272353,0.320786232128598,5.63297149473363e-06,0.090759578848386,-0.000116351136870301,0,NA
"MMGE95SC12","Commercial crab, shell condition 1,2","zone19_F_buffer",134.197262246948,0.101896174826839,NA,1,0.249576784993385,0.171822721659315,0.0606423240019284,0.696856347104891,-0.00405839936090517,0,NA
"MMGE95SC3","Commercial crab, shell condition 3","zone19_F_buffer",134.197262246948,0.305688524480518,NA,1,0.130197947724131,0.0520419254952246,0.0568470458988653,0.257115385164714,0.00128097417105899,0,NA
"MMGE95SC4","Commercial crab, shell condition 4","zone19_F_buffer",134.197262246948,0.0509480874134197,NA,1,0.00995847198328382,0.0331529009436253,0.000129851307922484,0.0632068297246947,0.000332228059759948,0,NA
"MMGE95SC5","Commercial crab, shell condition 5","zone19_F_buffer",134.197262246948,0,NA,1,0,0.00513359457096799,0,NA,0,0,NA
"MM","Mature males","zone19_F_buffer",134.197262246948,1.12085792309523,NA,1,0.732890630485777,0.371634777354849,0.255955664006416,1.6692949342085,7.56198767215051e-05,0,NA
"MMGE95","Commercial crab","zone19_F_buffer",134.197262246948,0.458532786720777,NA,1,0.406546108655336,0.204665453948769,0.14305442235955,0.92175590749503,-0.000979021318031455,0,NA
"MML95","Sub-legal mature males","zone19_F_buffer",134.197262246948,0.662325136374456,NA,1,0.299434388077021,0.235301358006999,0.060478656882135,0.91654471198867,0.00150510336646918,0,NA
"FI","Immature females","zone19_F_buffer",134.197262246948,0,NA,1,0.041913728242847,0.847757360989199,1.69064814646653e-05,0.253377772707115,-0.000792168280078962,0,NA
"FIGNO","Immature females, orange gonads","zone19_F_buffer",134.197262246948,0,NA,1,0.0207912843606237,0.308466048896498,1.4716262720708e-05,0.132844764807007,-0.000247343132453164,0,NA
"FM","Mature females","zone19_F_buffer",134.197262246948,4.99291256651513,NA,1,1.18803479854433,1.22034533006283,0.157025420882378,4.37369451515501,0.0293145352943291,0,NA
"FP","Primiparous females","zone19_F_buffer",134.197262246948,0,NA,1,0.108099132127142,0.374355834202137,0.00129979651366564,0.691930398827201,-0.00341871372521652,0,NA
"FMULT","Multiparous females","zone19_F_buffer",134.197262246948,4.99291256651513,NA,1,1.05555569526371,1.20083740051553,0.116815467515157,4.15745946159447,0.0325988945011925,0,NA
"MIGE56L69","Immature males, cw >= 56mm, cw < 69mm","zone19_F_buffer",134.197262246948,0.0509480874134197,NA,1,0.158817835216392,0.25575973222853,0.00912987002572165,0.768831317818909,-0.00203589263496953,0,NA
"MIGE69L83","Immature males, cw >= 69mm, cw < 83mm","zone19_F_buffer",134.197262246948,0.203792349653679,NA,1,0.343664173484924,0.286145651785885,0.063685310203659,1.09522073060526,-0.00232927518563101,0,NA
"MIGE83","Immature males, cw >= 83mm","zone19_F_buffer",134.197262246948,0.101896174826839,NA,1,0.467365853285963,0.351018719477342,0.100748120437055,1.38616814985766,-0.00475053915521213,0,NA
"MIGE83L98","Immature males, cw >= 83mm, cw < 98mm","zone19_F_buffer",134.197262246948,0.101896174826839,NA,1,0.407335254260444,0.317150298686058,0.0833857864293844,1.23882069944987,-0.0037599547969753,0,NA
"MIGE83L98SC345","Skip-moulter males, cw >= 83mm, cw < 98mm","zone19_F_buffer",134.197262246948,0,NA,1,0.165879689401221,0.148394381744526,0.0275067257234547,0.555654162113467,-0.00129100636786063,0,NA
"MIGE34L45","Immature males, cw >= 34mm, cw < 45mm","zone19_12_buffer",289.052790742378,0,0,2,0.0775260766285341,0.751848456930145,0.000121314463102528,0.521224429439518,-0.000284573057112757,5.30913724700206e-05,7.50825389921047e-05
