"variable","description","polygon","area","mean.sample","sd.sample","n.sample","mean","sd","lowerCI","upperCI","mean.CV","mad.CV","sd.CV"
"MMGE95SC5","Mature males, cw >= 95mm, shell condition 5","zone12",48074.5522582787,0.542583617898586,3.05810636668353,292,0.514158453512224,0.160804558512482,0.26965156001746,0.893021890802356,5.58126738266242e-07,2.20531145983112e-05,6.50679581197163e-05
"MM","Mature males","zone12",48074.5522582787,329.069447252267,294.089523672471,292,324.524011235102,14.1356929087152,297.698029530783,353.09738065829,-9.01882181518588e-05,0.00386284767308594,0.00515033804775861
"MMGE95","Mature males, cw >= 95mm","zone12",48074.5522582787,113.553086244574,134.692744961068,292,114.829088832264,8.42717994803187,99.1974811381496,132.211852308907,-9.6448474941902e-05,0.00172583375881732,0.0024819368988234
"MML95","Mature males, cw < 95mm","zone12",48074.5522582787,215.516361007693,210.646842860125,292,210.437907586059,8.76966179907516,193.771596566394,228.14148252419,-2.75436738635788e-05,0.0026712943283592,0.00358617337987525
"FI","Immature females","zone12",48074.5522582787,499.794636365811,867.878978390432,292,485.130668115098,36.9173335326626,416.796323472787,561.417434169043,1.01918794262538e-05,0.00918688299009921,0.016495645407289
"FIGNO","Immature females, orange gonads","zone12",48074.5522582787,132.442941754563,225.184969307556,292,128.304837128948,9.34572786809652,110.962037797707,147.575241872892,2.23891012348166e-05,0.0023788263082719,0.00421509393188728
"FM","Mature females","zone12",48074.5522582787,682.369456995214,1304.89730676158,292,669.228032604577,61.019551679056,557.603097829269,796.576409326338,-0.000262462168076601,0.0131949274264018,0.0231534860444161
"FP","Primiparous females","zone12",48074.5522582787,137.532684680149,268.655937560801,292,132.013854848559,11.26050576717,111.319478180149,155.424504826463,3.57212511665118e-05,0.00294138458219145,0.00506369413282621
"FMULT","Multiparous females","zone12",48074.5522582787,544.836772315066,1259.9928408467,292,538.713020683209,61.4168690022277,428.374656319589,668.779258117873,-0.000321433877653647,0.0122477268825848,0.0227561592585731
"MIGE56L69","Immature males, cw >= 56mm, cw < 69mm","zone12",48074.5522582787,170.916965070305,274.755685098904,292,163.449815019477,9.61428013593851,145.414973574542,183.087929012759,0.000184764202950273,0.00283313067388951,0.00532898599171811
"MIGE69L83","Immature males, cw >= 69mm, cw < 83mm","zone12",48074.5522582787,140.775775204173,209.663173114381,292,140.85940705774,10.3407198484055,121.67870509716,162.189556849516,6.05178267789143e-05,0.00238558877842836,0.00395004535142307
"MIGE83","Immature males, cw >= 83mm","zone12",48074.5522582787,159.950641849622,247.223898807109,292,163.939621818171,14.3239734640786,137.657989273793,193.759751978354,-9.56179256386293e-05,0.0027609979196646,0.00429393646741285
"MIGE83L98","Immature males, cw >= 83mm, cw < 98mm","zone12",48074.5522582787,135.921589853988,221.633967246534,292,138.524606240774,12.4182893722722,115.780101886623,164.415834675508,-6.79195213042786e-05,0.00235639361402588,0.00385249407454228
"MIGE83L98SC345","Immature males, cw >= 83mm, cw < 98mm, shell condition 3,4,5","zone12",48074.5522582787,46.2510045790577,111.418683707251,292,48.8037081661207,6.60797833758107,37.1346254492285,62.9849534489419,-7.81758642397805e-05,0.00100460894210124,0.00204088489350205
"MIGE34L45","Immature males, cw >= 34mm, cw < 45mm","zone19",3813.21275606706,1.9360205471967,4.61666500441853,24,1.93379923204862,2.40041507216051,0.182793361858825,8.05173828945252,8.34651551395849e-05,0.000773401016979786,0.00130769937046199
"MMGE95SC12","Mature males, cw >= 95mm, shell condition 1,2","zone19",3813.21275606706,6.44966744935782,8.75984555156208,24,6.27820625891358,1.56107782955816,3.769844448427,9.84677415205076,-0.000196811710648095,0.0018413394829232,0.00241347633406844
"MMGE95SC3","Mature males, cw >= 95mm, shell condition 3","zone19",3813.21275606706,5.89676838968181,6.22106346838468,24,4.83149446891399,0.471145245662916,3.97390399403878,5.81882500345109,0.000290894263499204,0.00131308325224635,0.001730834704627
"MMGE95SC4","Mature males, cw >= 95mm, shell condition 4","zone19",3813.21275606706,0.590827910445435,1.37143321083035,24,0.620893937616165,0.196803010177972,0.322742957964481,1.08542686206327,8.37298430158416e-06,0.000175938076729577,0.000270638808023191
"MMGE95SC5","Mature males, cw >= 95mm, shell condition 5","zone19",3813.21275606706,0.0533167331664857,0.261197582020029,24,0.0254657083520854,0.0333302205525456,0.00218197862834308,0.109548517931732,7.79183252684782e-06,2.73148864393175e-05,7.01292931365329e-05
"MM","Mature males","zone19",3813.21275606706,29.8735837232303,19.7777389396996,24,27.5786734736953,3.39382572531117,21.5255509736248,34.8068675432576,0.000802275489266717,0.00317093851094531,0.00425332305384193
"MMGE95","Mature males, cw >= 95mm","zone19",3813.21275606706,12.9905804826515,11.1578995014395,24,12.1014534142458,1.94247427369705,8.74078137689494,16.3334075297,0.000280131025228699,0.00223461215312758,0.0028348800102819
"MML95","Mature males, cw < 95mm","zone19",3813.21275606706,16.8830032405787,14.1721868721946,24,15.6199557552257,2.13729340499463,11.8500665574701,20.2107682229462,0.000510865383691231,0.00232196768843529,0.00293703262355545
"FI","Immature females","zone19",3813.21275606706,16.4662673142533,29.4368643204609,24,14.8378491168706,8.95455488389298,4.26152588291744,37.8701547681185,0.00104640088570889,0.00411058592178909,0.00650253314098483
"FIGNO","Immature females, orange gonads","zone19",3813.21275606706,0.502717092537753,1.16390136684364,24,0.820646301945447,2.2588374653073,0.0158375613060815,4.95818904908929,-0.000106830977194101,0.000239071649622943,0.00034975680930598
"FM","Mature females","zone19",3813.21275606706,72.0635007570785,102.355603743748,24,66.7771378766624,14.6066457040827,42.703236651143,99.6546022284919,0.00186840619567278,0.0164297184475552,0.0244646089075768
"FP","Primiparous females","zone19",3813.21275606706,1.13290470571065,2.36279844640985,24,2.47391919772746,2.58470017665648,0.317652504396486,9.2118639947032,-0.00051797331964338,0.000746502573794668,0.00109021933677576
"FMULT","Multiparous females","zone19",3813.21275606706,70.9305960513678,102.499269677053,24,63.5838146663851,14.6791542252513,39.6374236068281,96.8359423002739,0.00240462888847866,0.0163905460827487,0.0244743319640311
"MIGE56L69","Immature males, cw >= 56mm, cw < 69mm","zone19",3813.21275606706,5.1518724390411,8.69345440051838,24,6.43050746714087,2.19583501348013,3.17403198884689,11.6675719634853,-0.000663668878471035,0.00203144283277618,0.0029193578036754
"MIGE69L83","Immature males, cw >= 69mm, cw < 83mm","zone19",3813.21275606706,13.1158293352303,18.276061481419,24,13.7956157228979,2.3333710351329,9.78721563196583,18.9048475787292,-0.000427349526411259,0.00362142056990874,0.00531999981065609
"MIGE83","Immature males, cw >= 83mm","zone19",3813.21275606706,20.8771148354311,27.802847134548,24,19.8791266950621,2.92825062428925,14.7578782809742,26.2088575013459,-0.000264295170169284,0.00512556029050979,0.00720450600060939
"MIGE83L98","Immature males, cw >= 83mm, cw < 98mm","zone19",3813.21275606706,17.5283669208375,23.7619071144886,24,17.6487077435791,2.77145529736639,12.8400971867011,23.6743358645192,-0.000263761467277534,0.00468074031256384,0.00639755649584537
"MIGE83L98SC345","Immature males, cw >= 83mm, cw < 98mm, shell condition 3,4,5","zone19",3813.21275606706,12.5843483971425,21.9591405541658,24,10.5215795393022,1.33693610865999,8.14473329098374,13.3760841966335,0.000490025859918036,0.00377270363857016,0.0056657276638921
"MIGE34L45","Immature males, cw >= 34mm, cw < 45mm","zoneE",2436.9186668068,0.217213536572493,0.783174543836997,13,0.38296450971818,1.77094881753835,0.00255547978370961,2.56390047573282,-7.32950685385927e-05,0.000235426160296461,0.000474958276661836
"MMGE95SC12","Mature males, cw >= 95mm, shell condition 1,2","zoneE",2436.9186668068,0.868854146289973,3.13269817534799,13,0.969350775164962,1.13880264417536,0.101278747465212,3.89793163664809,0.000233350001055236,0.000563311667743054,0.00110346762819916
"MMGE95SC3","Mature males, cw >= 95mm, shell condition 3","zoneE",2436.9186668068,0.243855889543146,0.599428654912118,13,0.385343807144198,0.305026214197977,0.0770039602206774,1.18551725844929,-3.10566989996046e-07,0.000138297097452496,0.000224128656725654
"MMGE95SC4","Mature males, cw >= 95mm, shell condition 4","zoneE",2436.9186668068,0,0,13,0.00633381484095077,0.135526043175567,2.30983504557154e-06,0.0378518781501659,-2.39022028923187e-06,2.94180958674692e-06,3.27463885554406e-06
"MMGE95SC5","Mature males, cw >= 95mm, shell condition 5","zoneE",2436.9186668068,0,0,13,0.0183880166591469,0.0198643360485212,0.00222870506659424,0.0700090590012148,-4.75179231370577e-06,4.88371077863735e-06,5.86515050219213e-06
"MM","Mature males","zoneE",2436.9186668068,2.05633693125036,6.61542451213763,13,3.70538179504827,2.39525288620608,0.977344408467831,9.90793548976123,6.15366006829247e-06,0.000892609599001171,0.00184227206157255
"MMGE95","Mature males, cw >= 95mm","zoneE",2436.9186668068,1.11271003583312,3.5173787430053,13,1.36154782620235,1.30301320789348,0.202535050686262,4.77749815866357,0.000194069352005732,0.000594753383989058,0.00113753371693087
"MML95","Mature males, cw < 95mm","zoneE",2436.9186668068,0.943626895417242,3.12181347855959,13,2.36914005945826,1.54956668273833,0.615582602283627,6.38599053818667,-0.000170199735974981,0.000497738100208425,0.000757259676647631
"FI","Immature females","zoneE",2436.9186668068,1.42376894295213,4.26061061775934,13,2.4067905323917,6.48554000908137,0.0485297044971652,14.4483878491473,-0.000118276597487198,0.000946495735796747,0.00175376319131587
"FIGNO","Immature females, orange gonads","zoneE",2436.9186668068,0,0,13,0.299317088017426,1.65388092563834,0.00139797373025082,2.03245988811811,-0.000106518601111652,9.58219652200422e-05,0.000114591982360914
"FM","Mature females","zoneE",2436.9186668068,0.194657613771611,0.70184800761301,13,4.8836808367183,10.4420650143602,0.158547386792661,26.9989772288117,-0.00099409783406211,0.00158774589560404,0.00233634123077674
"FP","Primiparous females","zoneE",2436.9186668068,0,0,13,0.370552040978184,1.97882697611929,0.00185240293685492,2.51117978936821,-0.000181799146735018,0.000186162056466481,0.000245405271956511
"FMULT","Multiparous females","zoneE",2436.9186668068,0.194657613771611,0.70184800761301,13,4.77708565626077,10.384399282436,0.149922293089233,26.5861564682708,-0.00107771050497117,0.00161859189550078,0.00234395930554319
"MIGE56L69","Immature males, cw >= 56mm, cw < 69mm","zoneE",2436.9186668068,0,0,13,4.76187870158401,1.85431997414019,2.1246265580957,9.26739026923755,-0.000699547830696531,0.000873061302659314,0.00122684565726151
"MIGE69L83","Immature males, cw >= 69mm, cw < 83mm","zoneE",2436.9186668068,0.65164060971748,2.34952363151099,13,3.04259890952475,1.63988823194084,0.995425577176759,7.20649671065429,-0.000338407582077288,0.000513625946668291,0.000700977664812617
"MIGE83","Immature males, cw >= 83mm","zoneE",2436.9186668068,1.01640576583038,2.48789283020448,13,1.42369118110775,2.03556462923729,0.103171886589552,6.45337772400944,0.000118608131031744,0.000459227102748518,0.000729500168893302
"MIGE83L98","Immature males, cw >= 83mm, cw < 98mm","zoneE",2436.9186668068,0.881156644573481,2.21854454725773,13,1.23970956649286,1.87202315471234,0.0808401584892863,5.79569818212764,9.63953043767683e-05,0.000432587891245227,0.000650221693749424
"MIGE83L98SC345","Immature males, cw >= 83mm, cw < 98mm, shell condition 3,4,5","zoneE",2436.9186668068,0.338122803142247,1.21911910413299,13,0.209350550233074,0.918333889564481,0.00155422809021852,1.39308423619501,6.97961561078913e-05,0.000264536243355079,0.00052419652089044
"MIGE34L45","Immature males, cw >= 34mm, cw < 45mm","zoneF",2426.83078939405,0.28609061623439,0.665122312024989,17,0.372581368097358,1.99229444058876,0.00185764435270634,2.52514205824531,-8.12784263601334e-05,0.000233161593530819,0.000369593428238513
"MMGE95SC12","Mature males, cw >= 95mm, shell condition 1,2","zoneF",2426.83078939405,11.5139150077596,22.5543790286136,17,8.8146509331177,1.19627771269209,6.70267413442764,11.3824528541266,0.00118574986535266,0.00586999961392977,0.00962963598383721
"MMGE95SC3","Mature males, cw >= 95mm, shell condition 3","zoneF",2426.83078939405,1.88033434899703,2.60340805353602,17,2.10137334491642,0.371817297665575,1.46675167735747,2.91918444655023,-5.38507001140228e-05,0.000809596382851669,0.00108543920971657
"MMGE95SC4","Mature males, cw >= 95mm, shell condition 4","zoneF",2426.83078939405,0,0,17,0.0344159818341174,0.155708155573796,0.000240019479835119,0.229856358951033,-1.25569228085631e-05,1.28083515743163e-05,1.9075428647864e-05
"MMGE95SC5","Mature males, cw >= 95mm, shell condition 5","zoneF",2426.83078939405,0,0,17,0.000269743242652489,0.0246383981093679,8.1753143469154e-09,0.00106664732117046,0,0,0
"MM","Mature males","zoneF",2426.83078939405,22.0596303474499,28.5342196232194,17,21.2346459948332,2.78013164942929,16.3073954420687,27.1846791132265,0.000535433616654184,0.0083098840184884,0.0123191536715595
"MMGE95","Mature males, cw >= 95mm","zoneF",2426.83078939405,13.3942493567567,24.2796515692571,17,12.0746536811814,1.56005164228528,9.30591261509292,15.4099297431873,0.000802591374062234,0.00630254309516324,0.0104744097938116
"MML95","Mature males, cw < 95mm","zoneF",2426.83078939405,8.66538099069317,7.47206187071464,17,8.1657213007437,1.77152226033874,5.24157487144628,12.1493599072636,0.00017917796007774,0.00249554890924507,0.00313392982613278
"FI","Immature females","zoneF",2426.83078939405,2.45032947479999,4.06461043849435,17,2.66147495005436,7.35804559505811,0.0508989912486054,16.1011405971064,-4.05457099355412e-05,0.00127632881085369,0.00173135054945209
"FIGNO","Immature females, orange gonads","zoneF",2426.83078939405,0.984091593603301,2.12980500065919,17,0.898777562166894,1.86675659475475,0.0309629585013717,4.90962032461983,-8.47035526560158e-05,0.000558458817216899,0.00084450916263634
"FM","Mature females","zoneF",2426.83078939405,29.1282369210315,48.4335470979322,17,28.5731895076376,11.9268189500692,12.0211616850243,57.8384327359336,-0.0010554829828372,0.0138187848253012,0.0193367821093317
"FP","Primiparous females","zoneF",2426.83078939405,4.01448830019936,9.95742647512044,17,3.26739220668097,2.124538083003,0.855403410561097,8.77183032137305,-0.000493071268609059,0.00251493522782606,0.00419146440236421
"FMULT","Multiparous females","zoneF",2426.83078939405,25.1137486208322,49.198656703608,17,24.2883484528925,11.9347271514714,8.76139672974074,54.2366726880463,-0.000535469075728501,0.0147128754709914,0.0204162774980446
"MIGE56L69","Immature males, cw >= 56mm, cw < 69mm","zoneF",2426.83078939405,5.02074828985397,8.88666751062935,17,5.41705472902425,1.90507807030936,2.61681609097944,9.97954255453617,-0.000886605498975414,0.00302355631337895,0.00378504574824502
"MIGE69L83","Immature males, cw >= 69mm, cw < 83mm","zoneF",2426.83078939405,13.5990801826362,19.0171893844932,17,10.5836390781672,1.82931383852271,7.45074126754626,14.5977555913099,0.000855083639306758,0.0071489591721382,0.00939426265578758
"MIGE83","Immature males, cw >= 83mm","zoneF",2426.83078939405,21.5311248437432,30.8547829610076,17,14.6264427301042,2.15197340024508,10.8623003254093,19.2776809526866,0.00291513941461124,0.0100969714375113,0.0136428761494654
"MIGE83L98","Immature males, cw >= 83mm, cw < 98mm","zoneF",2426.83078939405,18.9207063784599,27.3404515654685,17,14.1629146186128,2.14307367823616,10.4271292562041,18.8065367969161,0.00229316221102532,0.00978125976789152,0.0129441542500822
"MIGE83L98SC345","Immature males, cw >= 83mm, cw < 98mm, shell condition 3,4,5","zoneF",2426.83078939405,0.812697216467484,1.17652931991958,17,0.690028255248076,0.978931195520303,0.0507573503054847,3.11375595015627,7.35882463403103e-05,0.000423473279865278,0.000542330858543577
"MIGE34L45","Immature males, cw >= 34mm, cw < 45mm","zoneEF_unassigned",667.873695524679,0.0762064919585439,0.152412983917088,4,0.0438322313697231,0.865183023510054,1.84727533260276e-05,0.266264608598566,2.59269412162553e-05,0.000134097247230717,0.000197275151312742
"MMGE95SC12","Mature males, cw >= 95mm, shell condition 1,2","zoneEF_unassigned",667.873695524679,0.232438641133879,0.464877282267758,4,0.224774423447983,0.600383798921379,0.00461545308392818,1.34569938069719,0.000157422198498338,0.000468803584623931,0.00065789062114071
"MMGE95SC3","Mature males, cw >= 95mm, shell condition 3","zoneEF_unassigned",667.873695524679,0.697315923401637,1.39463184680327,4,0.447391076088338,0.165309033197241,0.208156288335646,0.846068142566227,0.000529971972740207,0.00178217348269084,0.00238132449867599
"MMGE95SC4","Mature males, cw >= 95mm, shell condition 4","zoneEF_unassigned",667.873695524679,0,0,4,0,0.0661981130151794,0,NA,0,0,0
"MMGE95SC5","Mature males, cw >= 95mm, shell condition 5","zoneEF_unassigned",667.873695524679,0,0,4,0.000310789428923053,0.0126469428011315,3.67543678751319e-08,0.00158607126895107,0,0,0
"MM","Mature males","zoneEF_unassigned",667.873695524679,1.00723411158014,2.01446822316028,4,0.947654249333347,1.16862788305414,0.090662275539319,3.92958379192439,0.000346773607935217,0.00206175198380451,0.00295112320988764
"MMGE95","Mature males, cw >= 95mm","zoneEF_unassigned",667.873695524679,0.929754564535515,1.85950912907103,4,0.702979222780889,0.667929082053004,0.105810850066703,2.45453449092962,0.000533277490843686,0.00203434998991012,0.00280072834999762
"MML95","Mature males, cw < 95mm","zoneEF_unassigned",667.873695524679,0.0774795470446263,0.154959094089253,4,0.267743575463421,0.751545124445057,0.00496237031097121,1.6269870191084,-0.000330369264408921,0.000330369264408921,0.000401317112929808
"FI","Immature females","zoneEF_unassigned",667.873695524679,0.0774795470446263,0.154959094089253,4,0.127090038312201,3.15152957078607,3.56512101019667e-05,0.735568813240274,-0.000221659918899503,0.000564508439834173,0.000783820937692932
"FIGNO","Immature females, orange gonads","zoneEF_unassigned",667.873695524679,0,0,4,0.030597350579563,0.806830427504784,7.69995658896309e-06,0.174605671840948,-7.72461108348286e-06,1.15869166252243e-05,1.54492221669657e-05
"FM","Mature females","zoneEF_unassigned",667.873695524679,0,0,4,2.10407363125189,5.12231733153634,0.052314798371758,12.2172234752583,-0.00326316755044767,0.00326316755044767,0.0043612787481931
"FP","Primiparous females","zoneEF_unassigned",667.873695524679,0,0,4,0.00897737911844479,1.00084078060636,1.96028022605615e-07,0.0330761671510519,-2.26379959157593e-05,3.39569938736389e-05,4.52759918315185e-05
"FMULT","Multiparous females","zoneEF_unassigned",667.873695524679,0,0,4,2.07414279905809,5.09764305943149,0.0505706635712956,12.083281369817,-0.00309818737385167,0.00309818737385167,0.00415264448395673
"MIGE56L69","Immature males, cw >= 56mm, cw < 69mm","zoneEF_unassigned",667.873695524679,0.0774795470446263,0.154959094089253,4,0.105677169952765,0.896229679899456,0.000213613022849343,0.716905167805321,-7.19489340918356e-05,0.000339941962622672,0.000503281400214446
"MIGE69L83","Immature males, cw >= 69mm, cw < 83mm","zoneEF_unassigned",667.873695524679,0,0,4,0.47015548547373,0.871919498495801,0.0203886035895309,2.44220022476593,-0.000311206163526791,0.000311206163526791,0.000364583789763254
"MIGE83","Immature males, cw >= 83mm","zoneEF_unassigned",667.873695524679,1.08471365862477,2.16942731724954,4,1.32723594752508,1.14242777941791,0.233760257508585,4.32863602918009,0.000809429126874301,0.00225234362039379,0.00304619152981228
"MIGE83L98","Immature males, cw >= 83mm, cw < 98mm","zoneEF_unassigned",667.873695524679,0.774795470446263,1.54959094089253,4,1.08272898911905,1.02265985091937,0.164554715867258,3.765136326993,0.000512661770937511,0.00173214512700461,0.00238320474487693
"MIGE83L98SC345","Immature males, cw >= 83mm, cw < 98mm, shell condition 3,4,5","zoneEF_unassigned",667.873695524679,0.0774795470446263,0.154959094089253,4,0.115737124016406,0.521703668232698,0.000813190406558447,0.77265607250933,-3.79877941469783e-05,0.000219338173460465,0.000293062276429795
"MIGE34L45","Immature males, cw >= 34mm, cw < 45mm","zone19_F_buffer",134.197262246307,0,NA,1,0.0779215102210445,0.252762570982708,0.00107176980658339,0.491670226851992,-0.000513763765989066,0,NA
"MMGE95SC12","Mature males, cw >= 95mm, shell condition 1,2","zone19_F_buffer",134.197262246307,0.177980453907569,NA,1,0.339339463832344,0.179572460622555,0.113261226403972,0.79426601604858,-0.00338944996190821,0,NA
"MMGE95SC3","Mature males, cw >= 95mm, shell condition 3","zone19_F_buffer",134.197262246307,0,NA,1,0.175254919575329,0.0531622809105806,0.0937585342375262,0.299985550367944,-0.00153509691382826,0,NA
"MMGE95SC4","Mature males, cw >= 95mm, shell condition 4","zone19_F_buffer",134.197262246307,0,NA,1,0.000647215259375551,0.020680672508872,1.16310023918743e-07,0.00352389845128484,-1.00526105351876e-05,0,NA
"MMGE95SC5","Mature males, cw >= 95mm, shell condition 5","zone19_F_buffer",134.197262246307,0,NA,1,0,0.00417329475567131,0,NA,0,0,NA
"MM","Mature males","zone19_F_buffer",134.197262246307,0.771248633599467,NA,1,1.13941362569099,0.353842279184582,0.600358623870436,1.97227397107348,-0.00577924212105385,0,NA
"MMGE95","Mature males, cw >= 95mm","zone19_F_buffer",134.197262246307,0.177980453907569,NA,1,0.599450194465787,0.210844173679516,0.289547190487402,1.10441238365595,-0.00514895350953248,0,NA
"MML95","Mature males, cw < 95mm","zone19_F_buffer",134.197262246307,0.593268179691897,NA,1,0.524575623771932,0.221074573639298,0.218846329809346,1.06776669088971,-0.000152947792157513,0,NA
"FI","Immature females","zone19_F_buffer",134.197262246307,0,NA,1,0.118762871073684,0.930862204980397,0.000279423561541884,0.808493582380083,-0.00145890073718819,0,NA
"FIGNO","Immature females, orange gonads","zone19_F_buffer",134.197262246307,0,NA,1,0.0249606967582516,0.236683194105059,4.07650329598545e-05,0.168112754262268,-0.000194355601368867,0,NA
"FM","Mature females","zone19_F_buffer",134.197262246307,5.33941361722708,NA,1,1.19957216751677,1.53717714262317,0.106915268755667,5.0940897419758,0.0322849169796324,0,NA
"FP","Primiparous females","zone19_F_buffer",134.197262246307,0,NA,1,0.201783727515031,0.288134171150082,0.0146590908144392,0.913975444782535,-0.00354677348634623,0,NA
"FMULT","Multiparous females","zone19_F_buffer",134.197262246307,5.33941361722708,NA,1,0.984032767149466,1.54307943245243,0.0596078020216092,4.69641234397406,0.0348866621563836,0,NA
"MIGE56L69","Immature males, cw >= 56mm, cw < 69mm","zone19_F_buffer",134.197262246307,0.0593268179691897,NA,1,0.167875284661329,0.248611254018511,0.0113686021044108,0.776331731716032,-0.00172807978248215,0,NA
"MIGE69L83","Immature males, cw >= 69mm, cw < 83mm","zone19_F_buffer",134.197262246307,0.0593268179691897,NA,1,0.408923407787021,0.264532219357065,0.107758539474685,1.09398022472568,-0.0041465256399684,0,NA
"MIGE83","Immature males, cw >= 83mm","zone19_F_buffer",134.197262246307,0.0593268179691897,NA,1,0.529841577456909,0.368293544393446,0.127097112600647,1.48924687404909,-0.00556068316908055,0,NA
"MIGE83L98","Immature males, cw >= 83mm, cw < 98mm","zone19_F_buffer",134.197262246307,0.0593268179691897,NA,1,0.572645674535264,0.317959519064672,0.181250265656768,1.3828860880406,-0.00663191267891844,0,NA
